dataset,coefficient_fitting,model_selection,overfitting_diagnostic,final_assessment,reaction_count
3B-69,0,69,0,0,69
3BHET,0,20,0,0,20
3d4dIPSS,32,32,0,0,32
A19Rel6,0,114,0,0,114
A24,24,24,0,0,24
ACONF,0,15,0,0,15
ADIM6,0,6,0,0,6
AE11,0,11,11,0,11
AE18,18,18,0,0,18
AHB21,0,21,0,0,21
AL2X6,0,6,0,0,6
ALK8,8,8,0,0,8
ALKBDE10,0,10,0,0,10
AlkAtom19,19,19,0,0,19
AlkIsod14,0,14,0,0,14
AlkIsomer11,11,11,0,0,11
Amino20x4,0,80,0,0,80
BDE99MR,0,16,0,0,16
BDE99nonMR,83,83,0,0,83
BH28,28,28,0,0,28
BH46,0,46,0,0,46
BH76RC,0,30,0,0,30
BH876,0,876,0,0,876
BHDIV7,7,7,0,0,7
BHPERI11,11,11,0,0,11
BHROT27,0,27,0,0,27
BSR36,36,36,0,0,36
BUT14DIOL,14,64,0,0,64
Bauza30,30,30,0,0,30
BzDC215,0,215,0,0,215
C20C246,0,6,0,0,6
C60ISO7,0,7,0,0,7
CARBHB8,0,8,0,0,8
CHB6,0,6,0,0,6
CR20,20,20,0,0,20
CRBH14,14,14,0,0,14
CT20,20,20,0,0,20
CUAGAU83,36,83,0,0,83
DAPD,0,12,0,0,12
DARC,0,14,0,0,14
DBH22,22,22,0,0,22
DC13,0,13,0,0,13
DIE60,0,60,0,0,60
DIPCS9,9,9,0,0,9
DS14,14,14,0,0,14
Dip146,63,190,0,0,190
EA50,0,50,0,0,50
EIE22,22,22,0,0,22
FH51,0,51,0,0,51
FmH2O10,0,10,0,0,10
G21EA,25,25,0,0,25
G21IP,36,36,0,0,36
G2RC24,0,24,0,0,24
H2O16Rel4,0,4,0,0,4
H2O20Rel9,0,9,0,0,9
HAT707MR,0,202,0,0,202
HAT707nonMR,0,505,0,0,505
HB262,0,262,0,0,262
HB49,0,49,0,0,49
HCP32,32,32,0,0,32
HEAVY28,0,28,0,0,28
HEAVYSB11,11,11,0,0,11
HNBrBDE18,0,18,0,0,18
HR46,45,128,0,0,128
HSG,21,21,0,0,21
HW30,0,30,0,0,30
HW6Cl5,5,5,0,0,5
HW6F,0,6,0,0,6
He3,0,49,0,0,49
ICONF,0,17,0,0,17
IDISP,0,6,0,0,6
IHB100,100,100,0,0,100
IHB100x2,0,200,0,0,200
IL16,16,16,0,0,16
INV23,0,23,0,0,23
IP23,0,23,0,0,23
IP30,0,30,0,0,30
ISO34,0,34,0,0,34
ISOL23,0,23,0,0,23
ISOMERIZATION20,0,20,0,0,20
MB08-165,0,165,165,0,165
MB16-43,43,43,43,0,43
MCONF,0,51,0,0,51
MME52,0,52,0,0,52
MOBH28,0,56,0,0,56
MOR13,13,13,0,0,13
MX34,34,34,0,0,34
NBC10,0,184,0,0,184
NBPRC,0,12,0,0,12
NC11,0,11,0,0,11
O24,0,24,0,0,24
O24x4,0,96,0,0,96
OEEF,0,136,0,0,136
ORBH35,0,35,0,0,35
P34AE,0,44,0,0,44
P34EA,0,9,0,0,9
P34IP,0,15,0,0,15
PA26,0,26,0,0,26
PArel,0,20,0,0,20
PCONF21,18,18,0,0,18
PNICO23,0,23,0,0,23
PX9,9,9,0,0,9
Pentane13,0,13,0,0,13
PlatonicRE18,0,18,0,0,18
PlatonicTAE6,0,6,0,0,6
Pol130,95,296,0,0,296
RC21,0,21,0,0,21
RG10N,40,275,0,0,275
RG18,0,18,0,0,18
ROST61,0,61,0,0,61
RSE43,43,43,0,0,43
S22,22,22,0,0,22
S66,0,66,0,0,66
S66Rel7,74,462,0,0,462
SCONF,0,17,0,0,17
SIE4x4,0,16,0,0,16
SN13,0,13,0,0,13
SW49Bind22,0,22,0,0,22
SW49Rel28,0,28,0,0,28
Shields38,8,38,0,0,38
Styrene42,42,42,0,0,42
T144,0,421,0,0,421
TA13,13,13,0,0,13
TAE_W4-17MR,0,17,0,0,17
TAE_W4-17nonMR,183,183,0,0,183
TAUT15,0,15,0,0,15
TMB11,11,11,0,0,11
TMD10,10,10,0,0,10
UPU23,0,23,0,0,23
V30,0,275,0,0,275
WATER27,0,27,0,0,27
WCPT26,0,26,0,0,26
WCPT6,0,6,0,0,6
X40,0,40,0,0,40
X40x5,0,200,0,0,200
XB25,8,25,0,0,25
YBDE18,0,18,0,0,18
OEEFD,0,0,0,3,3
SC74,0,0,0,68,68
L14,0,0,0,14,14
vL11,0,0,0,11,11
GDB_W1-F12,0,0,0,3366,3366
