species,scope,source,source_sha256,derived_sha256,orbital_basis,auxiliary_basis,ecp_label,charge,multiplicity,atom_count,ghost_atom_count,electron_count,ecp_electrons,orbital_shells,orbital_spherical_aos,auxiliary_shells,auxiliary_spherical_aos,ecp_resolution
01_water-ammonia_0p9_dim_A21x12,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01_water-ammonia_0p9_dim_A21x12.in,c75410dd323a6250e3d3512994028af9a59904b67f497990fdfbaeeabc80b658,070b630fe204da803cdb50ca70cd82b543df0ec3a6a40f636f96b08744b0b81c,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,7,0,20,0,94,294,169,639,not_applicable
01_water-ammonia_1p0_dim_A21x12,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01_water-ammonia_1p0_dim_A21x12.in,4314ffac8d936bf800efcd0f54fd023019462adc70856b922bf3c6d9bfb6676f,35605c5e609647754d18d656a576f06867b83808fec7b43bbab18fb009b659b6,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,7,0,20,0,94,294,169,639,not_applicable
01_water-ammonia_1p1_dim_A21x12,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01_water-ammonia_1p1_dim_A21x12.in,7c27cdc1bd447048f3ebcd727506ccfbc82c3a8db6fafb46fe25357de94e3f20,e94a093963757d6b0b779cac2d259279394dc24640b707b5241c7186f16c5834,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,7,0,20,0,94,294,169,639,not_applicable
01_water-ammonia_1p2_dim_A21x12,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01_water-ammonia_1p2_dim_A21x12.in,955b52e34a88fc3c0d5bd431d9d7b2f67314976d6206eab8290267ed45e25ba4,674b8116a26dc507e401a0f073de16b9c04054a0dd1890963a4e6a4048b396c4,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,7,0,20,0,94,294,169,639,not_applicable
01_water-ammonia_1p4_dim_A21x12,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01_water-ammonia_1p4_dim_A21x12.in,6bcbb540c15208e37fef8ee7b1401012e847412796e0392d981da2d6d16b2cb0,ecfacced32fa7a90c352a599265e2614a87594f95ba8456d197eb627bcd8a8c8,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,7,0,20,0,94,294,169,639,not_applicable
01_water-ammonia_1p6_dim_A21x12,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01_water-ammonia_1p6_dim_A21x12.in,b366e36892f06abd27b96f90cea1fdeafb8d0e96233af14974bd725a41742875,374da1f85d11c4ab9d03160d105bb8e0d8fab4f7ff0f686e19bf1c1ff3ceed7a,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,7,0,20,0,94,294,169,639,not_applicable
01_water-ammonia_2p0_dim_A21x12,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01_water-ammonia_2p0_dim_A21x12.in,b03f097477c9e3b3e07f995c0ee529291f5a06833c60fdbf95cca1395c801e95,95667ecaeb8d1d282602c424952598ceea21d0b6f9d38021d4b73d5720a7e755,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,7,0,20,0,94,294,169,639,not_applicable
01a_water_dimAB_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01a_water_dimAB_3B-69.in,3241dd0668ed6c6c2baddb3e29bb209b91d4ef8794fb162bdb18b8ad7fed892d,fff003818a6b4fd2c73d9357e7485ee6bd403ba99f616f3d15034528e1479c7d,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,20,0,84,264,150,574,not_applicable
01a_water_dimAC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01a_water_dimAC_3B-69.in,bf0c10b11dadd97a5ba8320cddcd54b9de97ca553ead850d21dfaa0ac4b73162,9f6a4cb4d1b553daa1a069c84e563b75fac502c7cac1f4b56f87495a8361f177,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,20,0,84,264,150,574,not_applicable
01a_water_dimBC_3B-69,gscdb137,/clusterfs/mhg-data/yaoshen/GSCDB/qchem_inputs/01a_water_dimBC_3B-69.in,7ffcef467cd931380349911b5dc04083ec97d01716e5b0b22b4437c298939223,3e10c94f19bdd890788f760435a512cbe809869fbb550ad62b2396a18efa3c36,DEF2-QZVPPD,rimp2-def2-QZVPPD,,0,1,6,0,20,0,84,264,150,574,not_applicable
