species,receipt_sha256,files,bytes
01_water-ammonia_0p9_dim_A21x12,923bf58f444b1cb13c8b0ed59114b1bf47a41642b83c9c079ccdf95d40afe262,9,4156120
01_water-ammonia_1p0_dim_A21x12,83fe9f2c98de834d19bcd68b4d586eedd6d957b08cca2f6cdf626e8193082f65,9,4156120
01_water-ammonia_1p1_dim_A21x12,92bf408731f2eede22c89d651e49a11888dba58e4e74f4fc1930d6dbb0552c92,9,4156120
01_water-ammonia_1p2_dim_A21x12,ad2cb0a3f718be5916caec887572599a11aa3e2a47c2e67b63a4e16ab062b444,9,4156120
01_water-ammonia_1p4_dim_A21x12,915988ac37095f165432798b77a758f5b5db8ce48bc23762acef1614505af3f0,9,4156120
01_water-ammonia_1p6_dim_A21x12,9729c5285dff54f5f9a64cb45fffbb273ba01431e517595b1475c3b2aaec35c8,9,4156120
01_water-ammonia_2p0_dim_A21x12,a65c463d85874037a407407cf67d8dd7754097441312593621597611be6a4de2,9,4156120
01a_water_dimAB_3B-69,c3ced6f74065eef53070d9f37d2d13dd8eee65bc0fd444317de2b8a64c1fcc9b,9,3352053
01a_water_dimAC_3B-69,4a6243a4f0802588b27ec729e9df9052383c257a1d53f1a18f2f6f0674bc7ef5,9,3352053
01a_water_dimBC_3B-69,0c355245933a85e6678fcbe7dc904f0a8d4214b2fe13f82611f12cc471292b9d,9,3352053
01a_water_monA_3B-69,6691ec89b8c9d9403c18802e6c6fa8b1153417681167e5aa47f5f0c317a52680,9,840684
01a_water_monB_3B-69,5c55e41db06cae3d71f80fa43e2bbdeba565ff05aeb0a1911c6da74692117792,9,840684
01a_water_monC_3B-69,f02ce7e4621828d5ffac867ab7eb32b5a232f7ec15724b27731a8646fdee2d6c,9,840684
01a_water_trim_3B-69,169b2e644b2be437db7efd68b9396f73b61f920e58e1d4ceb55b3afc67a1bf5e,9,7536126
01b_water_dimAB_3B-69,9626fee0e4ab334cd38435ce998ef7291bbbebde7627252e72d0f1a4b27b6a7d,9,3352053
01b_water_dimAC_3B-69,64b0a9283ec046c2e31519a333f76a47dc65400dfc82436b37d321baec8c746a,9,3352053
01b_water_dimBC_3B-69,a2a9336caeefa44d814978943fbd850038fa8bbf65c9d3f367f4d0c255e647c7,9,3352053
01b_water_monA_3B-69,d7370699b121dfe5d7b4e9e9680e1a866c791e92024b43a7f70f004c5107b5bf,9,840684
01b_water_monB_3B-69,850594564df4f6a60561775c41552326363bed8b414f1756c2fbffc496944e04,9,840684
01b_water_monC_3B-69,386ec665b006f11c010a17f311f97555bd739d6d6ece56f98eb04c04665ad534,9,840684
01b_water_trim_3B-69,141f24afb60a326cb289dac51b50992dfb50b28852d6c72c44a6cf7ae92ada79,9,7536126
01c_water_dimAB_3B-69,cdaf3fe6770796bb34f6ceed7194bdf06914b9cafc905a670042d30f8864bbd5,9,3352053
01c_water_dimAC_3B-69,f724165486215bc943e4c862c9204f3698bc4e389b3fa32ff0bd8a93b51ccc3e,9,3352053
01c_water_dimBC_3B-69,d189e43725a1e84b0735aa9ea013757764597a0fd45705be6e319daed85e10c9,9,3352053
01c_water_monA_3B-69,d8f1c5284f8b5707d4dd88ebd74e595244c007abe88c5a8f5c264742cb591329,9,840684
01c_water_monB_3B-69,550927a42bbe02b99e6ebf8094c180444c1e9f7c5e6b18abe1032832f88573c7,9,840684
01c_water_monC_3B-69,35fb140b30dbe4107e4d7ae272d0795ea72323e4f56a3bf87acc0606adefc055,9,840684
01c_water_trim_3B-69,a1a1389e230ea8991919d04e37abebc79c8e9f6e7dfb4c3f38981c414309b1ae,9,7536126
02a_formaldehyde_dimAB_3B-69,4bb1601bd2eadc778754da1f0da1065e5543ca9358e2e67f87ab6a7962e8a677,9,7309595
02a_formaldehyde_dimAC_3B-69,94dd758444e2ad251ab5ec1556eb3961393a8af1ace29fa7570be634312e0c76,9,7309595
02a_formaldehyde_dimBC_3B-69,a75143c9e833bc8dd407acacfd236a65d128ee388fa1cb96df569292e1b95e78,9,7309595
02a_formaldehyde_monA_3B-69,5eab7eb9c28f601148f99d3a3b61e9342adda1a890f9546c4b774804b0aec18e,9,1830607
02a_formaldehyde_monB_3B-69,ba0c0e2d0ec6c21f6d38a55f346bee92de758a4b84a728f6fc167c9ddb630e65,9,1830607
02a_formaldehyde_monC_3B-69,eb47c9c5ed83064eede50588f2c274d16d7fece4e42a9bafc354c949f096a9de,9,1830607
02a_formaldehyde_trim_3B-69,14fb5d8cbefb80a5b7497e7706a1b415b85ac4db6df82a7571fad48772194105,9,16438983
02b_formaldehyde_dimAB_3B-69,725b445c588322a891bdc4eda81c742c549554cf851a2829615b6f39f0eeb78f,9,7309595
02b_formaldehyde_dimAC_3B-69,c61cdb21b2ebdab998bfbb56b84d026f0a9db948f85f8bc2166755bb91f1d5a8,9,7309595
02b_formaldehyde_dimBC_3B-69,c78863180b7a6a1e9f811f4005f31fb2cfc36fae82a1fb56da78015f3e24e9d1,9,7309595
02b_formaldehyde_monA_3B-69,8984327cc729c74067aab821344493c6a44e1e7438862792b5dcd1bc3df6e4ca,9,1830607
02b_formaldehyde_monB_3B-69,f46953bb23df39c400b33d09abc07ec7befac41100a4f1363e90f934b47c5fc4,9,1830607
02b_formaldehyde_monC_3B-69,55bbff39f9a66f244177fcc7321f9caea478ad1c13f87c77f577c3a872bcca2a,9,1830607
02b_formaldehyde_trim_3B-69,514b5dbb3f67bf4684a4c37f5ea82e4992c770530b59deed7ca2eabe6381d824,9,16438983
02c_formaldehyde_dimAB_3B-69,adf61fe2770fe8cc3055022441cabf49b6b8adae57117070e32971b03971f6d5,9,7309595
02c_formaldehyde_dimAC_3B-69,7cc7b915235907c0d821f93f686333cd783a9101174b57be65ff5d42da1ba709,9,7309595
02c_formaldehyde_dimBC_3B-69,f960ee0fa47985a80a5afc86b3ed01cbafd3b3734f68ef41f5dddec03964f669,9,7309595
02c_formaldehyde_monA_3B-69,6b48953480212ca311a985af3c8c5ec23e16b801403f2ce06d512587b2085af2,9,1830607
02c_formaldehyde_monB_3B-69,a243f0af90dbe5cb36c64cb31d0fc2cc714cf43b61a6fba4db03dfd32eb0bfd0,9,1830607
02c_formaldehyde_monC_3B-69,284d2e2ed4e342d38399894c8292fd97142294b964486a068af74f6f4c5d4aa6,9,1830607
02c_formaldehyde_trim_3B-69,4184f8aa5c652fcb9b651566130fd2a1498cbe63d40307d65ad04812bd691a0d,9,16438983
03_HCN-dimer_0p9_dim_A21x12,6bd936272c0f4fd9ca9cb7cb3ee067625f4563db9fc0ec890fe607304df98a8b,9,4861461
03_HCN-dimer_1p0_dim_A21x12,c4c80118df94b1b7ba542c1f01fa470bf58b7254838740a7f12d5f434b558be7,9,4861461
03_HCN-dimer_1p1_dim_A21x12,1586edeb745e5507195f049718f66aef64b30286595a0bc58e15d66c15bb6c60,9,4861461
03_HCN-dimer_1p2_dim_A21x12,cae9af3c19dd355cc2c5e0d0d741ece225017c6e001d6dc75396c9f242b8781c,9,4861461
03_HCN-dimer_1p4_dim_A21x12,3032db48ad97b1479c0805a97e97645f5fa439105db92ccb04bdc9df0e76ca7e,9,4861461
03_HCN-dimer_1p6_dim_A21x12,e551f6adc57aeb77f9b9d488646d69b025f3aabf73f9cff671b26f8c73f71352,9,4861461
03_HCN-dimer_2p0_dim_A21x12,69b2ca37aecbd6e215dba43ec321ad78f2a1c88c9de3f76daa791d7ab4dda8a7,9,4861461
03a_methanol_ethyne_dimAB_3B-69,0bbd421e1e66ea37b04b0e9fcf55748ae2afccf81934afc437d391677666bd0f,9,13073671
03a_methanol_ethyne_dimAC_3B-69,192fe95503bca0a05a2a8cf28565cf6b624241989ff08b15d67f92c410ceeb49,9,13073671
03a_methanol_ethyne_dimBC_3B-69,dd6a704a1fbe467dffc2d83adf203fc7e9a43ec1d6a56003cc6b0b99ba7e5d10,9,13082039
03a_methanol_ethyne_monA_3B-69,41b39bd2b07a98d061b1220c29c49d7f1e0d56e3bbc7ec5c5ec2cb70f77278aa,9,3276405
03a_methanol_ethyne_monB_3B-69,d360dc231c05085f4daa4f8ca348595a6f3d14d4fe0e4bc3c645c461ed8330eb,9,3276405
03a_methanol_ethyne_monC_3B-69,9e85784410594f6c66bd1057f4a3a45b902854ae43edfe7080d7247c0ee3eee6,9,3276405
03a_methanol_ethyne_trim_3B-69,fda38a822c209a9a13934bd6cd028bcb6bae3c9bc60844d418b21dea26d6c40f,9,29381305
03b_methanol_ethyne_dimAB_3B-69,f5212d336e128ba2dd2e3ddf364a6920ea93363b510d20dc8570b3e1e16e7bbe,9,13082039
03b_methanol_ethyne_dimAC_3B-69,9699c1573793f232dd04b741642d4ffc1e0f23617ea574d6acecf4d94fd0ae3d,9,9845441
03b_methanol_ethyne_dimBC_3B-69,fad4149862ede338d98af2d77d13087acdfd59e7226cd7a59e26efc5636d1d26,9,9845441
03b_methanol_ethyne_monA_3B-69,11b973e6a7afd2505b4171834ecf71e7b535bb82e098e87e19e8978ad26f4172,9,3276405
03b_methanol_ethyne_monB_3B-69,d75fb050ff7071eeefbaa2f1bb1fe7ae93a558140e14a7d5089c58c14caf3645,9,3276405
03b_methanol_ethyne_monC_3B-69,6409ac4a768d4eeab2dcce8946d90909d62d0c49e89d4eed486fbb0cc4dda499,9,1771743
03b_methanol_ethyne_trim_3B-69,11786a55b905018f37eb98246b105f55a69665e7a5b3f0ef86469f166a2e72f8,9,24438963
03c_methanol_ethyne_dimAB_3B-69,20da26cc3fb264d8dcdcce0a8ca42d38a3e125ba56b78a8ddcde15b6707339d2,9,13073671
03c_methanol_ethyne_dimAC_3B-69,04ebe930916a8c8a5fa2264444fc29d0e33752b73555f5765aca45686da44013,9,9845441
03c_methanol_ethyne_dimBC_3B-69,b64efe233ea21327c4461cf9892630a90d44415efc6621fdce728bf4506b9220,9,9852705
03c_methanol_ethyne_monA_3B-69,1cc16e350b0b7391641ad60b1ba43689801bc76d3e0cb6508aac426f8d087d08,9,3276405
03c_methanol_ethyne_monB_3B-69,8ac062160206aafd8642ed5c2f9731d56e98650cb9230eed777e5c0fa399f3e0,9,3276405
03c_methanol_ethyne_monC_3B-69,74b144234981639c59dcb5dd3a1c9fae4e2ea637523e4372f19e0b0e8d44e6ef,9,1771743
03c_methanol_ethyne_trim_3B-69,8f2232e52e8f617a63aeb44514161c12714f3617541d658a0433831fb2257b6c,9,24438963
04_HF-dimer_0p9_dim_A21x12,10ed9583f4524c497d402de56d9f82b20576737ed10f31856f906e6e0ea77930,9,1887247
04_HF-dimer_1p0_dim_A21x12,1bc6a2847b10f39139065e736da2b818ba19d2938bd1057ebe7d50fb92c2fe17,9,1887247
04_HF-dimer_1p1_dim_A21x12,00afa9e2956d7c3d005ee7c988fe07d8eb4a0cfefd4a8fe63f1422db7831703e,9,1887247
04_HF-dimer_1p2_dim_A21x12,fc394f26212cc58193fc463a889cb1da76c7c9e0df9d467ff2df254dabbe4140,9,1887247
04_HF-dimer_1p4_dim_A21x12,d3c3337409e17d4c46fc86519c069b63000448add0aedb2fdb33c6228ff038c3,9,1887247
04_HF-dimer_1p6_dim_A21x12,69f7f0292ee0d8b1c20e9d5508405595613f89488859b614f9dba6f320d00f21,9,1887247
04_HF-dimer_2p0_dim_A21x12,501d59c019424c5c78539abbdfe1ae2ba3b394a609ace9e0ca2c92181112d3d7,9,1887247
04a_acetonitrile_dimAB_3B-69,4bbc6cfb34a7d37c9ed7df86a71f23a96f341063c0b89ec90d4f4cca88af1ff2,9,15900359
04a_acetonitrile_dimAC_3B-69,e5f0bfadb09449cddb794a01daa23509a2f606d60cd513108840f8a1c7f57a3c,9,15909591
04a_acetonitrile_dimBC_3B-69,4f76afac8cd56205dfb02da5405e1ce151a6e49c32bafa1285319bbf0cb4a17a,9,15900359
04a_acetonitrile_monA_3B-69,18df3b7e724b2fe25f44a4adf9b82c223b14d898f81508b70e96165e7b27036e,9,3988341
04a_acetonitrile_monB_3B-69,b463769ff8b89e0c181e88809224f2ec4cc4f5e40fde0dad0908913beed70cd8,9,3988341
04a_acetonitrile_monC_3B-69,0e038384459391a43a497fcd680e77c4ef69c74c8f485f5a0d5a92358847ddce,9,3988341
04a_acetonitrile_trim_3B-69,10b9bb3ec047e7bb55f702cdd066d08db4148982ba9f39c3f1628d3aa936e7bb,9,35765817
04b_acetonitrile_dimAB_3B-69,c4d1b88c1a6ede5cf3cce0089ff809a6c58baa4eab647cb3957e4e5bf3d364ea,9,15909591
04b_acetonitrile_dimAC_3B-69,132ed12f16e58bde851d8f0a2e062fcdd1cba8192b702fa6a8f349db791bf83e,9,15909591
04b_acetonitrile_dimBC_3B-69,85faf3b76e9b613c3a59604e954cb58a1175397aee5699a278cfc1b98e24410d,9,15900359
04b_acetonitrile_monA_3B-69,0cbc87d4637975da0708635a4b9dfc3da04ef666aceaed1d7abc63b2bce077ae,9,3988341
04b_acetonitrile_monB_3B-69,14c3ffcf8e5e032063dd15f5ebb009b35bb1e60e580957581c80b5be6953e33b,9,3988341
04b_acetonitrile_monC_3B-69,b02b09899f222a846a3733bd58a817cdb054d22beda1e9cb17d859ddf84e680c,9,3988341
04b_acetonitrile_trim_3B-69,aec66aa1f864755961226d0797a5cdd2162eaff1e4af88be263c4acba3a16d96,9,35765817
04c_acetonitrile_dimAB_3B-69,278d1c3ee738df1ada713ed2e21f0896e02e415b998ad4227160e0d12a30c7fb,9,15900359
04c_acetonitrile_dimAC_3B-69,a697f0c85b2d6581f7106b520d469ad07fe5fc14a53583763bbcbc1daf32e1ba,9,15918823
04c_acetonitrile_dimBC_3B-69,3c9c442021c8887562f9bff4e67738cc2969e53841f222c5f65c071a927d145c,9,15937287
04c_acetonitrile_monA_3B-69,92c32e9ac2e5a53de692c0f66e53da76a01ec2e17d5c9a500c0adc5557263626,9,3988341
04c_acetonitrile_monB_3B-69,279f21706550159c6a20b14c2deeb1cb3f3919f731942d8f483c0453843c9749,9,3988341
04c_acetonitrile_monC_3B-69,2ebfc6f2fb580c7ac21ebb2a27e1dcfbb937ce9122a61225d25ee3ee51b33292,9,3988341
04c_acetonitrile_trim_3B-69,da304e62eb2e74c948dd606a35b9627338bab9f4bf9467c45d131dc51943b6fc,9,35765817
05_ammonia-dimer_0p9_dim_A21x12,21909ddc62af33c4e3ec98f942284d4cdb8d39e5a8b307769b269b5e719acf9f,9,5046587
05_ammonia-dimer_1p0_dim_A21x12,14909f1de3693344e94eed2f5aec1b8260072f34675c764c46d956a5ee74e44d,9,5046587
05_ammonia-dimer_1p1_dim_A21x12,35108d3f0b71c9824ed21734db8d795d7309b3569f03d8b7b3b54136596e65b9,9,5046587
05_ammonia-dimer_1p2_dim_A21x12,6f611d6fe956793163b3fe89cf7987ba49d60f434bdfbb39bb58c96bbc2f1028,9,5046587
05_ammonia-dimer_1p4_dim_A21x12,bb94b6ae5b64b5dff75cfe772b17c3fdfc53874c844201fa2c0cbe8958709469,9,5046587
05_ammonia-dimer_1p6_dim_A21x12,91a5aee7ab3430c46dc106e68e821107e7e8a3cbd2ed1fc19c871b6ffa0b45d1,9,5046587
05_ammonia-dimer_2p0_dim_A21x12,9dbc5b16d5a28b767c3c9ab1748bf3e159a43a0dee32cd83fafc246cc86781da,9,5046587
05a_nitromethane_dimAB_3B-69,3aad0a9fb38b35f17c5b1abb8ac22c3a8909f056502ccf025de090ff5d74d493,9,24450269
05a_nitromethane_dimAC_3B-69,1eaee54ade94d783bdbcbf50a2375c3d2467083fe220c809d507a172002821df,9,24450269
05a_nitromethane_dimBC_3B-69,56edd152baf4bc4e631bbc1226ac126006fe23ab6380b8880bf516eef59e9b68,9,24450269
