species,scope,source,status,issues,bytes,nbasis,nmo,files,geometry_max_error
01_water-ammonia_0p9_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/01_water-ammonia_0p9_dim_A21x12,structural_pass,,4156120,294,294,9,2.220446049250313e-16
01_water-ammonia_1p0_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/01_water-ammonia_1p0_dim_A21x12,structural_pass,,4156120,294,294,9,4.440892098500626e-16
01_water-ammonia_1p1_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/01_water-ammonia_1p1_dim_A21x12,structural_pass,,4156120,294,294,9,4.440892098500626e-16
01_water-ammonia_1p2_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/01_water-ammonia_1p2_dim_A21x12,structural_pass,,4156120,294,294,9,2.220446049250313e-16
01_water-ammonia_1p4_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/01_water-ammonia_1p4_dim_A21x12,structural_pass,,4156120,294,294,9,4.440892098500626e-16
01_water-ammonia_1p6_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/01_water-ammonia_1p6_dim_A21x12,structural_pass,,4156120,294,294,9,4.440892098500626e-16
01_water-ammonia_2p0_dim_A21x12,gscdb137,/global/scratch/users/jsliang/COACH3/01_water-ammonia_2p0_dim_A21x12,structural_pass,,4156120,294,294,9,8.881784197001252e-16
01a_water_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01a_water_dimAB_3B-69,structural_pass,,3352053,264,264,9,8.881784197001252e-16
01a_water_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01a_water_dimAC_3B-69,structural_pass,,3352053,264,264,9,4.440892098500626e-16
01a_water_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01a_water_dimBC_3B-69,structural_pass,,3352053,264,264,9,8.881784197001252e-16
01a_water_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01a_water_monA_3B-69,structural_pass,,840684,132,132,9,1.1102230246251565e-16
01a_water_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01a_water_monB_3B-69,structural_pass,,840684,132,132,9,8.881784197001252e-16
01a_water_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01a_water_monC_3B-69,structural_pass,,840684,132,132,9,4.440892098500626e-16
01a_water_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01a_water_trim_3B-69,structural_pass,,7536126,396,396,9,8.881784197001252e-16
01b_water_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01b_water_dimAB_3B-69,structural_pass,,3352053,264,264,9,4.440892098500626e-16
01b_water_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01b_water_dimAC_3B-69,structural_pass,,3352053,264,264,9,4.440892098500626e-16
01b_water_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01b_water_dimBC_3B-69,structural_pass,,3352053,264,264,9,4.440892098500626e-16
01b_water_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01b_water_monA_3B-69,structural_pass,,840684,132,132,9,1.1102230246251565e-16
01b_water_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01b_water_monB_3B-69,structural_pass,,840684,132,132,9,4.440892098500626e-16
01b_water_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01b_water_monC_3B-69,structural_pass,,840684,132,132,9,4.440892098500626e-16
01b_water_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01b_water_trim_3B-69,structural_pass,,7536126,396,396,9,4.440892098500626e-16
01c_water_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01c_water_dimAB_3B-69,structural_pass,,3352053,264,264,9,4.440892098500626e-16
01c_water_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01c_water_dimAC_3B-69,structural_pass,,3352053,264,264,9,4.440892098500626e-16
01c_water_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01c_water_dimBC_3B-69,structural_pass,,3352053,264,264,9,4.440892098500626e-16
01c_water_monA_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01c_water_monA_3B-69,structural_pass,,840684,132,132,9,4.440892098500626e-16
01c_water_monB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01c_water_monB_3B-69,structural_pass,,840684,132,132,9,4.440892098500626e-16
01c_water_monC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01c_water_monC_3B-69,structural_pass,,840684,132,132,9,4.440892098500626e-16
01c_water_trim_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/01c_water_trim_3B-69,structural_pass,,7536126,396,396,9,4.440892098500626e-16
02a_formaldehyde_dimAB_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02a_formaldehyde_dimAB_3B-69,structural_pass,,7309595,390,390,9,1.7763568394002505e-15
02a_formaldehyde_dimAC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02a_formaldehyde_dimAC_3B-69,structural_pass,,7309595,390,390,9,1.7763568394002505e-15
02a_formaldehyde_dimBC_3B-69,gscdb137,/global/scratch/users/jsliang/COACH3/02a_formaldehyde_dimBC_3B-69,structural_pass,,7309595,390,390,9,1.7763568394002505e-15
