species,scope,required_for_energy_roles,source_record_sha256,qchem_source_input_sha256,elements,spin,orbital_qchem_label,orbital_resolution,orbital_pyscf_name,orbital_definition_sha256,auxiliary_qchem_label,auxiliary_resolution,auxiliary_pyscf_name,auxiliary_definition_sha256,ecp_resolution,ecp_definition_sha256,electron_count,ecp_electrons,orbital_shells,orbital_spherical_aos,auxiliary_shells,auxiliary_spherical_aos,runnable_status
01_water-ammonia_0p9_dim_A21x12,gscdb137,true,7a3b7d631a5a72f931e2da6de16256f2524709ea5a3b013e60a6a9e7736648c4,6adc1727a2cbb2c9c2360ac9558f24d60cae732a361435235c687e0317576cdd,H;N;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,59e762ac3b5e0c05a071183b2d16edc0698bdf334c9a270c6cb9c53df5a8e838,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,5cc404e5a2b70d13bdd1c2cb55bfc159ba5d93548be95300ba8017d031f4d893,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,94,294,169,639,runnable_basis_metadata_validated
01_water-ammonia_1p0_dim_A21x12,gscdb137,true,b65e34d701aad3963b5d5ffe92be7a6a4e36051a263aea893f3b60b5eb65c189,a85000ab9605929ce7ec4dce0f4cfb84725480fa83ac4fa257af61fd63e97259,H;N;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,59e762ac3b5e0c05a071183b2d16edc0698bdf334c9a270c6cb9c53df5a8e838,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,5cc404e5a2b70d13bdd1c2cb55bfc159ba5d93548be95300ba8017d031f4d893,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,94,294,169,639,runnable_basis_metadata_validated
01_water-ammonia_1p1_dim_A21x12,gscdb137,true,6fca8d1ea17195d6a0fb116e52e93d44e4a275ec3af7d3f4a881be751a9bff41,a854ae62b5c85cd86a52e9721d3eb41fce03d7a1e84c163fecbb66b887eb6521,H;N;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,59e762ac3b5e0c05a071183b2d16edc0698bdf334c9a270c6cb9c53df5a8e838,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,5cc404e5a2b70d13bdd1c2cb55bfc159ba5d93548be95300ba8017d031f4d893,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,94,294,169,639,runnable_basis_metadata_validated
01_water-ammonia_1p2_dim_A21x12,gscdb137,true,7cbd2deb0176bb7b3b863b902e30ff90279e4422b09c036a7b8d69d8a8c75085,77b0ddc97e9563d4114e90c64970a162185bd6c552216c7e4d11f06bbb682cb7,H;N;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,59e762ac3b5e0c05a071183b2d16edc0698bdf334c9a270c6cb9c53df5a8e838,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,5cc404e5a2b70d13bdd1c2cb55bfc159ba5d93548be95300ba8017d031f4d893,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,94,294,169,639,runnable_basis_metadata_validated
01_water-ammonia_1p4_dim_A21x12,gscdb137,true,8ab637dd762fd805222d62ba664c34ebd02dd1cc08a34918a0fbc315d1b87a0b,17510a89a491ffed94cc4593b2ca04e83ca3a9fe8cc241750a9b085eefa2b69b,H;N;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,59e762ac3b5e0c05a071183b2d16edc0698bdf334c9a270c6cb9c53df5a8e838,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,5cc404e5a2b70d13bdd1c2cb55bfc159ba5d93548be95300ba8017d031f4d893,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,94,294,169,639,runnable_basis_metadata_validated
01_water-ammonia_1p6_dim_A21x12,gscdb137,true,055f71bbcd1c019b9f77f97d77a327a25f0dc4c751b1913cfbd9d3a62f1b41c0,47ee3e1efa1a7a1dd57c38314c08c2207deb9d0fcb90eafaa0de0fc378bc1ee2,H;N;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,59e762ac3b5e0c05a071183b2d16edc0698bdf334c9a270c6cb9c53df5a8e838,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,5cc404e5a2b70d13bdd1c2cb55bfc159ba5d93548be95300ba8017d031f4d893,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,94,294,169,639,runnable_basis_metadata_validated
01_water-ammonia_2p0_dim_A21x12,gscdb137,true,49b06da326b64fe18785e70a743f217ce29cfe59b0326dc30422cc38b705e97b,e72dc29619e627eb5939398a649006f253ecf95aca92b923907946da21cda0e5,H;N;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,59e762ac3b5e0c05a071183b2d16edc0698bdf334c9a270c6cb9c53df5a8e838,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,5cc404e5a2b70d13bdd1c2cb55bfc159ba5d93548be95300ba8017d031f4d893,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,94,294,169,639,runnable_basis_metadata_validated
01a_water_dimAB_3B-69,gscdb137,true,ef2b360c9b18cab27c23a2978b51fba5564e2521c609f5b64fa7d03b7b0affa1,a643f7a45d286c24f08204bb85a6aaedc329c632bb4794b63ea09d58301b3b97,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,84,264,150,574,runnable_basis_metadata_validated
01a_water_dimAC_3B-69,gscdb137,true,9fe6e994e1a45cac3ddb2f7c442a9f8530771e44db419020fe66fa6f861c83ef,c639e83e05009d2c0fe8501303c9a9fd7cb89682123302b845ba0ebc7be36a37,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,84,264,150,574,runnable_basis_metadata_validated
01a_water_dimBC_3B-69,gscdb137,true,7f50e956d909e346e3a4e309e975651891c8b1e7724469fcaa5f5b1e326ff62c,9b4e7aa42058e8380bfd6b67b7448c8311c5bba40f4879ca5f39bcdd94c8dad1,H;O,0,DEF2-QZVPPD,named_alias,def2-qzvppd,ef8f71dbe2a6b322929e0475ea6968fc00dfca478f006e34c81f0ba0831c6b40,rimp2-def2-QZVPPD,hash_pinned_qchem_named_library,rimp2-def2-QZVPPD,25028e5807a7b1834406e0ddfb047a8c96ccb7770e819aa83a22c2551da2f7be,not_applicable,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,20,0,84,264,150,574,runnable_basis_metadata_validated
