dataset,scope,category,reaction_count,coefficient_fitting_count,coefficient_fitting,model_selection,overfitting_diagnostic,final_assessment,geometry_status,notes
3B-69,gscdb137,NC,69,0,false,true,false,false,verified_qchem_input_snapshot,
3BHET,gscdb137,NC,20,0,false,true,false,false,verified_qchem_input_snapshot,
3d4dIPSS,gscdb137,TM,32,32,true,true,false,false,verified_qchem_input_snapshot,
A19Rel6,gscdb137,NC,114,0,false,true,false,false,verified_qchem_input_snapshot,
A24,gscdb137,NC,24,24,true,true,false,false,verified_qchem_input_snapshot,
ACONF,gscdb137,INC,15,0,false,true,false,false,verified_qchem_input_snapshot,
ADIM6,gscdb137,NC,6,0,false,true,false,false,verified_qchem_input_snapshot,
AE11,gscdb137,TC,11,0,false,true,true,false,verified_qchem_input_snapshot,
AE18,gscdb137,TC,18,18,true,true,false,false,verified_qchem_input_snapshot,
AHB21,gscdb137,NC,21,0,false,true,false,false,verified_qchem_input_snapshot,
AL2X6,gscdb137,TC,6,0,false,true,false,false,verified_qchem_input_snapshot,
ALK8,gscdb137,TC,8,8,true,true,false,false,verified_qchem_input_snapshot,
ALKBDE10,gscdb137,TC,10,0,false,true,false,false,verified_qchem_input_snapshot,
AlkAtom19,gscdb137,TC,19,19,true,true,false,false,verified_qchem_input_snapshot,
AlkIsod14,gscdb137,TC,14,0,false,true,false,false,verified_qchem_input_snapshot,
AlkIsomer11,gscdb137,ISO,11,11,true,true,false,false,verified_qchem_input_snapshot,
Amino20x4,gscdb137,INC,80,0,false,true,false,false,verified_qchem_input_snapshot,
BDE99MR,gscdb137,TC,16,0,false,true,false,false,verified_qchem_input_snapshot,
BDE99nonMR,gscdb137,TC,83,83,true,true,false,false,verified_qchem_input_snapshot,
BH28,gscdb137,BH,28,28,true,true,false,false,verified_qchem_input_snapshot,
BH46,gscdb137,BH,46,0,false,true,false,false,verified_qchem_input_snapshot,
BH76RC,gscdb137,TC,30,0,false,true,false,false,verified_qchem_input_snapshot,
BH876,gscdb137,BH,876,0,false,true,false,false,verified_qchem_input_snapshot,
BHDIV7,gscdb137,BH,7,7,true,true,false,false,verified_qchem_input_snapshot,
BHPERI11,gscdb137,BH,11,11,true,true,false,false,verified_qchem_input_snapshot,
BHROT27,gscdb137,BH,27,0,false,true,false,false,verified_qchem_input_snapshot,
BSR36,gscdb137,TC,36,36,true,true,false,false,verified_qchem_input_snapshot,
BUT14DIOL,gscdb137,INC,64,14,true,true,false,false,verified_qchem_input_snapshot,
Bauza30,gscdb137,NC,30,30,true,true,false,false,verified_qchem_input_snapshot,
BzDC215,gscdb137,NC,215,0,false,true,false,false,verified_qchem_input_snapshot,
C20C246,gscdb137,ISO,6,0,false,true,false,false,verified_qchem_input_snapshot,
C60ISO7,gscdb137,ISO,7,0,false,true,false,false,verified_qchem_input_snapshot,
CARBHB8,gscdb137,NC,8,0,false,true,false,false,verified_qchem_input_snapshot,
CHB6,gscdb137,NC,6,0,false,true,false,false,verified_qchem_input_snapshot,
CR20,gscdb137,TC,20,20,true,true,false,false,verified_qchem_input_snapshot,
CRBH14,gscdb137,BH,14,14,true,true,false,false,verified_qchem_input_snapshot,
CT20,gscdb137,NC,20,20,true,true,false,false,verified_qchem_input_snapshot,
CUAGAU83,gscdb137,TM,83,36,true,true,false,false,verified_qchem_input_snapshot,
DAPD,gscdb137,TM,12,0,false,true,false,false,verified_qchem_input_snapshot,
DARC,gscdb137,TC,14,0,false,true,false,false,verified_qchem_input_snapshot,
DBH22,gscdb137,BH,22,22,true,true,false,false,verified_qchem_input_snapshot,
DC13,gscdb137,TC,13,0,false,true,false,false,verified_qchem_input_snapshot,
DIE60,gscdb137,ISO,60,0,false,true,false,false,verified_qchem_input_snapshot,
DIPCS9,gscdb137,TC,9,9,true,true,false,false,verified_qchem_input_snapshot,
DS14,gscdb137,NC,14,14,true,true,false,false,verified_qchem_input_snapshot,
Dip146,gscdb137,EF,190,63,true,true,false,false,verified_qchem_input_snapshot,
