species,scope,snapshot_input,input_sha256,molecule_block_sha256,geometry_payload_sha256,charge,multiplicity,atom_count,real_atom_count,ghost_atom_count,elements,manifest_orbital_basis,qchem_rem_basis,basis_block_sha256,basis_block_bytes,manifest_auxiliary_basis,qchem_rem_auxiliary_basis,auxiliary_basis_block_sha256,auxiliary_basis_block_bytes,qchem_rem_ecp,ecp_block_sha256,ecp_block_bytes,coefficient_fitting,model_selection,overfitting_diagnostic,final_assessment,qchem_unrestricted,orbital_files_used
01_water-ammonia_0p9_dim_A21x12,gscdb137,species/01_water-ammonia_0p9_dim_A21x12/input0,6adc1727a2cbb2c9c2360ac9558f24d60cae732a361435235c687e0317576cdd,16559fd66cdb51b654006cd378a3bdd78a3437af90fd7720bab68d1c6908af84,891d6df0dde16bf795181b17529f90c6a4a2da7f2a4a73c2fe7368f2c226cc76,0,1,7,7,0,H;N;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01_water-ammonia_1p0_dim_A21x12,gscdb137,species/01_water-ammonia_1p0_dim_A21x12/input0,a85000ab9605929ce7ec4dce0f4cfb84725480fa83ac4fa257af61fd63e97259,eea064e40ee3c4dd6b2458e65e868f965ae133b95bdcbc2e645b6d77c9b47ef2,a6e5882ea311c570b642aa6bbd3c67395e0fe88c9845d4fa4f7f03822468445a,0,1,7,7,0,H;N;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01_water-ammonia_1p1_dim_A21x12,gscdb137,species/01_water-ammonia_1p1_dim_A21x12/input0,a854ae62b5c85cd86a52e9721d3eb41fce03d7a1e84c163fecbb66b887eb6521,081790b147733fe68bbd79298c847eb0dec79010798b11a0b5eba82cb5acbe81,44ecfe1517bf24586025697209855b124b8e1d60792505ab39895e8f7a8b8fdc,0,1,7,7,0,H;N;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01_water-ammonia_1p2_dim_A21x12,gscdb137,species/01_water-ammonia_1p2_dim_A21x12/input0,77b0ddc97e9563d4114e90c64970a162185bd6c552216c7e4d11f06bbb682cb7,b424aab26a4d5b84ae4ad08cadd6349a46eccadfc0d84ce0ae9f826be8b29fd2,b1bc894b2fca4edfef34d3e187a2bbf7a88a8ccc5c6ea0a2ec787fc528bdc499,0,1,7,7,0,H;N;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01_water-ammonia_1p4_dim_A21x12,gscdb137,species/01_water-ammonia_1p4_dim_A21x12/input0,17510a89a491ffed94cc4593b2ca04e83ca3a9fe8cc241750a9b085eefa2b69b,83e2e671831f1003eaffdbe81175cf11db94e85424eacd837a78ecdd3a52848e,f0769d1b5559346239a298d8e3b772deabf280c0eca781e22f816f1bbd806712,0,1,7,7,0,H;N;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01_water-ammonia_1p6_dim_A21x12,gscdb137,species/01_water-ammonia_1p6_dim_A21x12/input0,47ee3e1efa1a7a1dd57c38314c08c2207deb9d0fcb90eafaa0de0fc378bc1ee2,de622bd0dc053b0b292cd0c0f3a0beb1bb83c0a3770b0af387b4ee70c3bd365d,be00633978f0bba643dee3b60c837c614e22d4bef8a0f9122314d7236bdfded8,0,1,7,7,0,H;N;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01_water-ammonia_2p0_dim_A21x12,gscdb137,species/01_water-ammonia_2p0_dim_A21x12/input0,e72dc29619e627eb5939398a649006f253ecf95aca92b923907946da21cda0e5,9f84531e96013b5be7500385c8d35907fc959ede7856d88c7c0f2232c26e51b4,17ec5ccf401160fb84a5fbb6a38d1ce53bfda395329134e1399e25cebf773f5d,0,1,7,7,0,H;N;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01a_water_dimAB_3B-69,gscdb137,species/01a_water_dimAB_3B-69/input0,a643f7a45d286c24f08204bb85a6aaedc329c632bb4794b63ea09d58301b3b97,9a90e4e854cc1fe49b640babf0844d7bf6722d95a80a3d31af1ec8cfeee55b2b,2c6f3720eebbfd0fe37940b721ae024937f86e70f1492ed587357a927090b93d,0,1,6,6,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01a_water_dimAC_3B-69,gscdb137,species/01a_water_dimAC_3B-69/input0,c639e83e05009d2c0fe8501303c9a9fd7cb89682123302b845ba0ebc7be36a37,4dd59f1fab904c7da7bca0e84a8481a29555885213e720e8ea1e7bf552d45727,d3eb7350dfd473c2db2f61ddda31bd9eee963f62a90666a74fe0ddafbc01ab21,0,1,6,6,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01a_water_dimBC_3B-69,gscdb137,species/01a_water_dimBC_3B-69/input0,9b4e7aa42058e8380bfd6b67b7448c8311c5bba40f4879ca5f39bcdd94c8dad1,8f858ac72f86dea0c21c98202504a05f3c057a7a69185114df1eba5c635105fb,637f9d6244e0682f3e40393ea6db58ebb68822390f52afd8aa5295806a3a3311,0,1,6,6,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01a_water_monA_3B-69,gscdb137,species/01a_water_monA_3B-69/input0,ce2b428a44d0e7098d07c9cca1e5083060eec3bd3074340b3828fa4351872c53,68d458f267a0961339347b89356df1bd9ab5412610e8af309c4f47348dff2cc1,f959a6ba244254619fbe5689abeda195b3218f6bbb76a8ca40e8e691c1236f56,0,1,3,3,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01a_water_monB_3B-69,gscdb137,species/01a_water_monB_3B-69/input0,0f471ef20fb3ef8f3443e8fd37891b0db5724a50ccb40b3a6e3848c51235c9f6,ab797c6a887f13b4a0f070529696ef29391b9cc8c8e144112e81719dcf285931,2e7ef509b43bec1335d79922aced2ed6e2af215dd3c027e95197801038c8d5e8,0,1,3,3,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01a_water_monC_3B-69,gscdb137,species/01a_water_monC_3B-69/input0,07f1ddd8b3f954223707b52773c39dc2f7de41705a92fed1753453451ac9fbe5,92c4bdfa0248c0d2cac0d8a470b6fc81b774f529ac87d6bfb89b10f5c18c8d66,d2d03c08d90e4cd1ab57651db341705abc0f652c34e9b125a78938188fe716c8,0,1,3,3,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01a_water_trim_3B-69,gscdb137,species/01a_water_trim_3B-69/input0,597a04f98caf3b843f09258dd8bcf7fd99581f48ee9048635611924494aad466,c20e6ab105348660b70c46a574d60706ea7bbf5d1e30c7f1828b5b230049ecc4,349ad14e9ea962168cfb76bfc76f0375d3414394633bc6782a01e6c9aa2cc34b,0,1,9,9,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01b_water_dimAB_3B-69,gscdb137,species/01b_water_dimAB_3B-69/input0,0ff4525ec2ceeece4be003f309bc019780025bc86d776ea2c72272d83e341fb1,93128f25040ba1bd43b38e987d8a92295bca4a086a868b15ca268879ed7dcc45,3712bcacf3c70201a2b6b1a1eab8defce32ce507b6c2d0720a173051af54b854,0,1,6,6,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
01b_water_dimAC_3B-69,gscdb137,species/01b_water_dimAC_3B-69/input0,0853546983e506d54591811eb6d85be9f41d535fbcfe97eadda21750f059b298,b58bce4d7023c8fe4d58b3d94f80e03d6f33e5628b60e1b688ec616c97e9f943,0e70600f7189f6cc912b2aa02e490aca4a467a1afdceea3560dd8246b254ff1a,0,1,6,6,0,H;O,def2-QZVPPD,DEF2-QZVPPD,,0,rimp2-def2-QZVPPD,rimp2-def2-QZVPPD,,0,,,0,false,true,false,false,True,false
