reaction,dataset,scope,coefficient_fitting,model_selection,overfitting_diagnostic,final_assessment,objective_weight,stoichiometric_species_count
3B-69_1,3B-69,gscdb137,false,true,false,false,,7
3B-69_2,3B-69,gscdb137,false,true,false,false,,7
3B-69_3,3B-69,gscdb137,false,true,false,false,,7
3B-69_4,3B-69,gscdb137,false,true,false,false,,7
3B-69_5,3B-69,gscdb137,false,true,false,false,,7
3B-69_6,3B-69,gscdb137,false,true,false,false,,7
3B-69_7,3B-69,gscdb137,false,true,false,false,,7
3B-69_8,3B-69,gscdb137,false,true,false,false,,7
3B-69_9,3B-69,gscdb137,false,true,false,false,,7
3B-69_10,3B-69,gscdb137,false,true,false,false,,7
3B-69_11,3B-69,gscdb137,false,true,false,false,,7
3B-69_12,3B-69,gscdb137,false,true,false,false,,7
3B-69_13,3B-69,gscdb137,false,true,false,false,,7
3B-69_14,3B-69,gscdb137,false,true,false,false,,7
3B-69_15,3B-69,gscdb137,false,true,false,false,,7
3B-69_16,3B-69,gscdb137,false,true,false,false,,7
3B-69_17,3B-69,gscdb137,false,true,false,false,,7
3B-69_18,3B-69,gscdb137,false,true,false,false,,7
3B-69_19,3B-69,gscdb137,false,true,false,false,,7
3B-69_20,3B-69,gscdb137,false,true,false,false,,7
3B-69_21,3B-69,gscdb137,false,true,false,false,,7
3B-69_22,3B-69,gscdb137,false,true,false,false,,7
3B-69_23,3B-69,gscdb137,false,true,false,false,,7
3B-69_24,3B-69,gscdb137,false,true,false,false,,7
3B-69_25,3B-69,gscdb137,false,true,false,false,,7
3B-69_26,3B-69,gscdb137,false,true,false,false,,7
3B-69_27,3B-69,gscdb137,false,true,false,false,,7
3B-69_28,3B-69,gscdb137,false,true,false,false,,7
3B-69_29,3B-69,gscdb137,false,true,false,false,,7
3B-69_30,3B-69,gscdb137,false,true,false,false,,7
3B-69_31,3B-69,gscdb137,false,true,false,false,,7
3B-69_32,3B-69,gscdb137,false,true,false,false,,7
3B-69_33,3B-69,gscdb137,false,true,false,false,,7
3B-69_34,3B-69,gscdb137,false,true,false,false,,7
3B-69_35,3B-69,gscdb137,false,true,false,false,,7
3B-69_36,3B-69,gscdb137,false,true,false,false,,7
3B-69_37,3B-69,gscdb137,false,true,false,false,,7
3B-69_38,3B-69,gscdb137,false,true,false,false,,7
3B-69_39,3B-69,gscdb137,false,true,false,false,,7
3B-69_40,3B-69,gscdb137,false,true,false,false,,7
3B-69_41,3B-69,gscdb137,false,true,false,false,,7
3B-69_42,3B-69,gscdb137,false,true,false,false,,7
3B-69_43,3B-69,gscdb137,false,true,false,false,,7
3B-69_44,3B-69,gscdb137,false,true,false,false,,7
3B-69_45,3B-69,gscdb137,false,true,false,false,,7
3B-69_46,3B-69,gscdb137,false,true,false,false,,7
3B-69_47,3B-69,gscdb137,false,true,false,false,,7
3B-69_48,3B-69,gscdb137,false,true,false,false,,7
3B-69_49,3B-69,gscdb137,false,true,false,false,,7
3B-69_50,3B-69,gscdb137,false,true,false,false,,7
3B-69_51,3B-69,gscdb137,false,true,false,false,,7
3B-69_52,3B-69,gscdb137,false,true,false,false,,7
3B-69_53,3B-69,gscdb137,false,true,false,false,,7
3B-69_54,3B-69,gscdb137,false,true,false,false,,7
3B-69_55,3B-69,gscdb137,false,true,false,false,,7
3B-69_56,3B-69,gscdb137,false,true,false,false,,7
3B-69_57,3B-69,gscdb137,false,true,false,false,,7
3B-69_58,3B-69,gscdb137,false,true,false,false,,7
3B-69_59,3B-69,gscdb137,false,true,false,false,,7
3B-69_60,3B-69,gscdb137,false,true,false,false,,7
3B-69_61,3B-69,gscdb137,false,true,false,false,,7
3B-69_62,3B-69,gscdb137,false,true,false,false,,7
3B-69_63,3B-69,gscdb137,false,true,false,false,,7
3B-69_64,3B-69,gscdb137,false,true,false,false,,7
3B-69_65,3B-69,gscdb137,false,true,false,false,,7
3B-69_66,3B-69,gscdb137,false,true,false,false,,7
3B-69_67,3B-69,gscdb137,false,true,false,false,,7
3B-69_68,3B-69,gscdb137,false,true,false,false,,7
3B-69_69,3B-69,gscdb137,false,true,false,false,,7
3BHET_1,3BHET,gscdb137,false,true,false,false,,7
3BHET_2,3BHET,gscdb137,false,true,false,false,,7
3BHET_3,3BHET,gscdb137,false,true,false,false,,7
3BHET_4,3BHET,gscdb137,false,true,false,false,,7
3BHET_5,3BHET,gscdb137,false,true,false,false,,7
3BHET_6,3BHET,gscdb137,false,true,false,false,,7
3BHET_7,3BHET,gscdb137,false,true,false,false,,7
3BHET_8,3BHET,gscdb137,false,true,false,false,,7
3BHET_9,3BHET,gscdb137,false,true,false,false,,7
3BHET_10,3BHET,gscdb137,false,true,false,false,,7
3BHET_11,3BHET,gscdb137,false,true,false,false,,7
3BHET_12,3BHET,gscdb137,false,true,false,false,,7
3BHET_13,3BHET,gscdb137,false,true,false,false,,7
3BHET_14,3BHET,gscdb137,false,true,false,false,,7
3BHET_15,3BHET,gscdb137,false,true,false,false,,7
3BHET_16,3BHET,gscdb137,false,true,false,false,,7
3BHET_17,3BHET,gscdb137,false,true,false,false,,7
3BHET_18,3BHET,gscdb137,false,true,false,false,,7
3BHET_19,3BHET,gscdb137,false,true,false,false,,7
3BHET_20,3BHET,gscdb137,false,true,false,false,,7
3d4dIPSS_1,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_2,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_3,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_4,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_5,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_6,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_7,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_8,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_9,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_10,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_11,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_12,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_13,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_14,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_15,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_16,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_17,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_18,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_19,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_20,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_21,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_22,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_23,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_24,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_26,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_27,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_28,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_29,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_30,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_31,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_32,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
3d4dIPSS_35,3d4dIPSS,gscdb137,true,true,false,false,1.5,2
A19Rel6_1,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_2,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_3,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_4,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_5,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_6,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_7,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_8,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_9,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_10,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_11,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_12,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_13,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_14,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_15,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_16,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_17,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_18,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_19,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_20,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_21,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_22,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_23,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_24,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_25,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_26,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_27,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_28,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_29,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_30,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_31,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_32,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_33,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_34,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_35,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_36,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_37,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_38,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_39,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_40,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_41,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_42,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_43,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_44,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_45,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_46,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_47,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_48,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_49,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_50,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_51,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_52,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_53,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_54,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_55,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_56,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_57,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_58,A19Rel6,gscdb137,false,true,false,false,,2
A19Rel6_59,A19Rel6,gscdb137,false,true,false,false,,2
