species,scope,coefficient_fitting,model_selection,overfitting_diagnostic,final_assessment,qchem_input_metadata_available,geometry_status
01_water-ammonia_0p9_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01_water-ammonia_1p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01_water-ammonia_1p1_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01_water-ammonia_1p2_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01_water-ammonia_1p4_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01_water-ammonia_1p6_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01_water-ammonia_2p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01a_water_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01a_water_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01a_water_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01a_water_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01a_water_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01a_water_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01a_water_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01b_water_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01b_water_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01b_water_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01b_water_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01b_water_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01b_water_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01b_water_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01c_water_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01c_water_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01c_water_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01c_water_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01c_water_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01c_water_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
01c_water_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02a_formaldehyde_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02a_formaldehyde_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02a_formaldehyde_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02a_formaldehyde_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02a_formaldehyde_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02a_formaldehyde_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02a_formaldehyde_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02b_formaldehyde_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02b_formaldehyde_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02b_formaldehyde_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02b_formaldehyde_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02b_formaldehyde_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02b_formaldehyde_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02b_formaldehyde_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02c_formaldehyde_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02c_formaldehyde_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02c_formaldehyde_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02c_formaldehyde_monA_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02c_formaldehyde_monB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02c_formaldehyde_monC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
02c_formaldehyde_trim_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03_HCN-dimer_0p9_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03_HCN-dimer_1p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03_HCN-dimer_1p1_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03_HCN-dimer_1p2_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03_HCN-dimer_1p4_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03_HCN-dimer_1p6_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03_HCN-dimer_2p0_dim_A21x12,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03a_methanol_ethyne_dimAB_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03a_methanol_ethyne_dimAC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
03a_methanol_ethyne_dimBC_3B-69,gscdb137,false,true,false,false,true,verified_qchem_input_snapshot
