species,datasets,reaction_uses,charge,multiplicity,atom_count,basis,orbital_dir,qarchive
L14_2a,L14,1,0,1,92,def2-TZVPPD,True,True
L14_2a_monA,L14,1,0,1,72,def2-TZVPPD,True,True
L14_2a_monB,L14,1,0,1,20,def2-TZVPPD,True,True
L14_2b,L14,1,0,1,86,def2-TZVPPD,True,True
L14_2b_monA,L14,1,0,1,72,def2-TZVPPD,True,True
L14_2b_monB,L14,1,0,1,14,def2-TZVPPD,True,True
L14_3b,L14,1,0,1,113,def2-TZVPPD,True,True
L14_3b_monA,L14,1,0,1,98,def2-TZVPPD,True,True
L14_3b_monB,L14,1,0,1,15,def2-TZVPPD,True,True
L14_C2C2PD,L14,1,0,1,72,def2-TZVPPD,True,True
L14_C2C2PD_monA,L14,1,0,1,36,def2-TZVPPD,True,True
L14_C2C2PD_monB,L14,1,0,1,36,def2-TZVPPD,True,True
L14_C3A,L14,1,0,1,87,def2-TZVPPD,True,True
L14_C3A_monA,L14,1,0,1,15,def2-TZVPPD,True,True
L14_C3A_monB,L14,1,0,1,72,def2-TZVPPD,True,True
L14_C3GC,L14,1,0,1,101,def2-TZVPPD,True,True
L14_C3GC_monA,L14,1,0,1,29,def2-TZVPPD,True,True
L14_C3GC_monB,L14,1,0,1,72,def2-TZVPPD,True,True
L14_CBH,L14,1,0,1,112,def2-TZVPPD,True,True
L14_CBH_monA,L14,1,0,1,56,def2-TZVPPD,True,True
L14_CBH_monB,L14,1,0,1,56,def2-TZVPPD,True,True
L14_Da1,L14,1,0,1,86,def2-TZVPPD,True,True
L14_Da1_monA,L14,1,0,1,43,def2-TZVPPD,True,True
L14_Da1_monB,L14,1,0,1,43,def2-TZVPPD,True,True
L14_Da2,L14,1,0,1,88,def2-TZVPPD,True,True
L14_Da2_monA,L14,1,0,1,44,def2-TZVPPD,True,True
L14_Da2_monB,L14,1,0,1,44,def2-TZVPPD,True,True
L14_GCGC,L14,1,0,1,58,def2-TZVPPD,True,True
L14_GCGC_monA,L14,1,0,1,29,def2-TZVPPD,True,True
L14_GCGC_monB,L14,1,0,1,29,def2-TZVPPD,True,True
L14_GGG,L14,1,0,1,48,def2-TZVPPD,True,True
L14_GGG_monA,L14,1,0,1,16,def2-TZVPPD,True,True
L14_GGG_monB,L14,1,0,1,32,def2-TZVPPD,True,True
L14_PHE,L14,1,0,1,87,def2-TZVPPD,True,True
L14_PHE_monA,L14,1,0,1,29,def2-TZVPPD,True,True
L14_PHE_monB,L14,1,0,1,58,def2-TZVPPD,True,True
L14_S8-1,L14,1,0,1,84,def2-TZVPPD,True,True
L14_S8-1_monA,L14,1,0,1,68,def2-TZVPPD,True,True
L14_S8-1_monB,L14,1,0,1,16,def2-TZVPPD,True,True
L14_S8-2,L14,1,0,1,84,def2-TZVPPD,True,True
L14_S8-2_monA,L14,1,0,1,68,def2-TZVPPD,True,True
L14_S8-2_monB,L14,1,0,1,16,def2-TZVPPD,True,True
vL11_3a,vL11,1,0,1,126,def2-TZVPPD,True,True
vL11_3a_monA,vL11,1,0,1,98,def2-TZVPPD,True,True
vL11_3a_monB,vL11,1,0,1,28,def2-TZVPPD,True,True
vL11_4a,vL11,1,0,1,148,def2-TZVPPD,True,True
vL11_4a_monA,vL11,1,0,1,88,def2-TZVPPD,True,True
vL11_4a_monB,vL11,1,0,1,60,def2-TZVPPD,True,True
vL11_5a,vL11,1,0,1,144,def2-TZVPPD,True,True
vL11_5a_monA,vL11,1,0,1,130,def2-TZVPPD,True,True
vL11_5a_monB,vL11,1,0,1,14,def2-TZVPPD,True,True
vL11_5b,vL11,1,0,1,142,def2-TZVPPD,True,True
vL11_5b_monA,vL11,1,0,1,130,def2-TZVPPD,True,True
vL11_5b_monB,vL11,1,0,1,12,def2-TZVPPD,True,True
vL11_C60-C60,vL11,1,0,1,120,def2-TZVPPD,True,True
vL11_C60-C60_monA,vL11,1,0,1,60,def2-TZVPPD,True,True
vL11_C60-C60_monB,vL11,1,0,1,60,def2-TZVPPD,True,True
vL11_C60-CPPA,vL11,1,0,1,132,def2-TZVPPD,True,True
vL11_C60-CPPA_monA,vL11,1,0,1,60,def2-TZVPPD,True,True
vL11_C60-CPPA_monB,vL11,1,0,1,72,def2-TZVPPD,True,True
vL11_CiM-a,vL11,1,0,1,126,def2-TZVPPD,True,True
vL11_CiM-a_monA,vL11,1,0,1,63,def2-TZVPPD,True,True
vL11_CiM-a_monB,vL11,1,0,1,63,def2-TZVPPD,True,True
vL11_CiM-c,vL11,1,0,1,144,def2-TZVPPD,True,True
vL11_CiM-c_monA,vL11,1,0,1,72,def2-TZVPPD,True,True
vL11_CiM-c_monB,vL11,1,0,1,72,def2-TZVPPD,True,True
vL11_CiM-d,vL11,1,0,1,160,def2-TZVPPD,True,True
vL11_CiM-d_monA,vL11,1,0,1,80,def2-TZVPPD,True,True
vL11_CiM-d_monB,vL11,1,0,1,80,def2-TZVPPD,True,True
vL11_CiM-e,vL11,1,0,1,174,def2-TZVPPD,True,True
vL11_CiM-e_monA,vL11,1,0,1,87,def2-TZVPPD,True,True
vL11_CiM-e_monB,vL11,1,0,1,87,def2-TZVPPD,True,True
vL11_DNA-ellipticine,vL11,1,-2,1,157,def2-TZVPPD,True,True
vL11_DNA-ellipticine_monA,vL11,1,0,1,33,def2-TZVPPD,True,True
vL11_DNA-ellipticine_monB,vL11,1,-2,1,124,def2-TZVPPD,True,True
