dataset,category_short,category,reaction_count,species_count,reported_datapoints,metric_standard_error,rmse_standard_error,mae_standard_error,theory_level,description
3B-69,NC,Noncovalent,69,483,69.0,0.057484404613565,0.07221507486100433,0.057484404613565,"HF/aQZ+MP2/a[TQ]Z+CCSD(T) /aDZ. For dozen small cases, CCSD(T) /aTZ used",3-Body non-additive interaction energies in three different orientations of 23 molecular crystals 
3BHET,NC,Noncovalent,20,140,20.0,0.1384851258440553,0.1728002216490217,0.1384851258440553,"HF/a5Z+MP2/a[Q5]Z+CCSD(T) /aDZ. For small cases, CCSD(T) /aTZ used",3-Body non-additive interaction energies in molecular trimers
3d4dIPSS,TM,Transition Metal,32,52,32.0,5.193466247976917,9.957303213535852,5.193466247976917,Mixed,Spin-state relative energies and ionization potentials for first-row (3d) and second-row (4d) transition metals
A19Rel6,NC,Noncovalent,114,133,114.0,0.07232670165778747,0.09312882951843687,0.07232670165778747,HF/aQZ+G18+G20,Relative energies of 19 complexes from the A24 set on potential energy curves (PECs)
A24,NC,Noncovalent,24,72,24.0,0.1000620290139482,0.1217662031319831,0.1000620290139482,CCSD(T)/aug-cc-pV[TQ5(6)]Z + CCSDT(Q)/aDZ,Highly accurate binding energies of small non-covalent complexes 
ACONF,INC,Intramolecular Noncovalent,15,18,15.0,0.04732497243293058,0.06068910976996673,0.04732497243293058,W1h-val,Isomerization energies of alkane conformers 
ADIM6,NC,Noncovalent,6,12,6.0,0.1136901985619618,0.137152077534567,0.1136901985619618,W1-F12,Interaction energies of n-alkane dimers
AE11,TC,Thermochemistry,11,11,11.0,116.9657393697381,166.1470256748129,116.9657393697381,CCSD(T) corrected by MP2,Absolute atomic energies of closed shell atoms from Ca to Rn
AE18,TC,Thermochemistry,18,18,18.0,4.951586087331369,5.98328901642233,4.951586087331369,Experimental fitting,Absolute atomic energies of hydrogen through argon 
AHB21,NC,Noncovalent,21,63,21.0,0.3077044999282589,0.402254652711479,0.3077044999282589,"CCSD(T)(many, like F12-[DT]Z, [TQ]Z)",Interaction energies in anion-neutral dimers 
AL2X6,TC,Thermochemistry,6,11,6.0,0.9578029946347385,1.27705286358771,0.9578029946347385,W2-F12,Dimerisation energies of AlX3 compounds
ALK8,TC,Thermochemistry,8,17,8.0,2.291862608084174,3.178706952820347,2.291862608084174,CCSD(T)/awCV[TQ]Z//PBEh-3c,Dissociation and other reactions of alkaline compounds
ALKBDE10,TC,Thermochemistry,10,20,10.0,3.255146458172462,4.160311925209064,3.255146458172462,Exp.,Dissociation energies in group-1 and -2 diatomics (many MR)
AlkAtom19,TC,Thermochemistry,19,21,19.0,1.423698570682299,1.581201428617318,1.423698570682299,"quasi-W4,W1h and W3.2lite for reaction energies and W4 values for ethane and propane",Atomization energies of n=1-8 alkane
AlkIsod14,TC,Thermochemistry,14,16,14.0,0.8040966288725685,0.8709155802859248,0.8040966288725685,W1h and W3.2lite,Isodesmic reaction energies in n = 3–8 alkanes.
AlkIsomer11,ISO,Isomerization,11,16,11.0,0.1318924441475725,0.1610826076917238,0.1318924441475725,W1h and W3.2lite,Isomerization energies of alkanes with 4-8 carbon atoms.
Amino20x4,INC,Intramolecular Noncovalent,80,100,80.0,0.193032731157904,0.2709476215032441,0.193032731157904,MP2-F12/TZ-F12 + CCSD(Ts)-F12b/DZ-F12,Isomerization energies of amino acid conformers
BDE99MR,TC,Thermochemistry,16,22,16.0,3.314104787854086,3.83898758049971,3.314104787854086,W4 etc,Multi-reference (MR) bond dissociation energies from W4-11
BDE99nonMR,TC,Thermochemistry,83,86,83.0,1.930809315364183,2.906016208799641,1.930809315364183,W4 etc,Single-reference (SR) bond dissociation energies from W4-11
BH28,BH,Barrier Height,28,57,28.0,1.174950884973305,1.567501998789002,1.174950884973305,W3lite-F12,"Highly accurate subset chosen from BHPERI, CRBH20, BHDIV10, and PX13 sets"
BH46,BH,Barrier Height,46,56,46.0,1.313773195348638,1.736821830932208,1.313773195348638,W2-F12,"Barrier heights of hydrogen transfer, heavy atom transfer, nucleophilic substitution, unimolecular and association reactions. This set comprises the remaining data points from BH76 after excluding those included in DBH22."
BH76RC,TC,Thermochemistry,30,41,30.0,1.006338025915779,1.269377353417232,1.006338025915779,W2-F12,Reaction energies of the BH76 set
BH876,BH,Barrier Height,876,1729,876.0,1.612891238481361,2.179234057888615,1.612891238481361,HF/a[TQ]Z+MP2/a[TQ]Z+DLPNO-CCSD(T) /aTZ/tight,Comprehensive reaction barrier heights
BHDIV7,BH,Barrier Height,7,14,7.0,1.155611986799034,1.475977153818883,1.155611986799034,"W1-F12,W2-F12",Diverse reaction barrier heights
BHPERI11,BH,Barrier Height,11,22,11.0,1.10234303263047,1.515617478973328,1.10234303263047,"W1-F12,W2-F12",Barrier heights of pericyclic reactions
BHROT27,BH,Barrier Height,27,40,27.0,0.30150099953296,0.4369403039785038,0.30150099953296,"W1-F12,W2-F12",Barrier heights for rotation around single bonds
BSR36,TC,Thermochemistry,36,38,36.0,0.5994907677537084,0.7450106311415001,0.5994907677537084,DLPNO-CCSD(T)/TightPNO/CBS(aug-cc-pVTZ/aug-cc-pVQZ),Hydrocarbon bond separation reaction energies
BUT14DIOL,INC,Intramolecular Noncovalent,64,65,64.0,0.08643202832281964,0.1190238711567707,0.08643202832281964,W1-F12,"Isomerization energies of butane-1,4-diol conformers"
Bauza30,NC,Noncovalent,30,90,30.0,0.5770324371044778,0.7434752167285228,0.5770324371044778,CCSD(T)/a[Q5]Z half CP,"Binding energies of halogen-, chalcogen-, and pnicogen-bonded dimers "
BzDC215,NC,Noncovalent,215,235,215.0,0.1414761735805692,0.2013498955438767,0.1414761735805692,HF/aQZ+MP2/a[TQ]Z+CCSD(T) /aTZ,PECs for benzene interacting with two rare-gas atoms and eight first- and second-row hydrides 
C20C246,ISO,Isomerization,6,8,6.0,9.354917374535233,10.85712780203953,9.354917374535233,MP2-F12/[DT]Z (or MP2/[Q5]Z) +CCSD(T)/TZ,Isomerization energies of C20 and C24 
C60ISO7,ISO,Isomerization,7,8,7.0,1.97441912098719,2.242918933970609,1.97441912098719,"HF/CBS(2,3) + DLPNO-CCSD(T)/def2-TZVP corrected by MP2/CBS(2,3)",Isomerization energies of C60 isomers
CARBHB8,NC,Noncovalent,8,24,8.0,0.1472016876447619,0.1791329165590003,0.1472016876447619,W2-F12,"Binding energies of hydrogen-bonded complexes between carbene analogues and H2O, NH3, or HCl "
