species,scope,gscdb137_dataset_count,gscdb137_datasets,gscdb137_reaction_uses,auxiliary_dataset_count,auxiliary_datasets,auxiliary_reaction_uses,charge,multiplicity,atom_count,basis,aux_basis_corr,scf_algorithm,xc_grid,num_basis,num_pairs,qchem_input,primary_orbital_dir,primary_qarchive,working_orbital_dir,working_qarchive,working_staged_ok
01_water-ammonia_0p9_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,7,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,294,42177,qchem_inputs/01_water-ammonia_0p9_dim_A21x12.in,True,True,True,True,True
01_water-ammonia_1p0_dim_A21x12,gscdb137,1,A19Rel6,6,0,,0,0,1,7,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,294,41133,qchem_inputs/01_water-ammonia_1p0_dim_A21x12.in,True,True,True,True,True
01_water-ammonia_1p1_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,7,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,294,40211,qchem_inputs/01_water-ammonia_1p1_dim_A21x12.in,True,True,True,True,True
01_water-ammonia_1p2_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,7,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,294,38793,qchem_inputs/01_water-ammonia_1p2_dim_A21x12.in,True,True,True,True,True
01_water-ammonia_1p4_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,7,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,294,35812,qchem_inputs/01_water-ammonia_1p4_dim_A21x12.in,True,True,True,True,True
01_water-ammonia_1p6_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,7,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,294,33974,qchem_inputs/01_water-ammonia_1p6_dim_A21x12.in,True,True,True,True,True
01_water-ammonia_2p0_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,7,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,294,30410,qchem_inputs/01_water-ammonia_2p0_dim_A21x12.in,True,True,True,True,True
01a_water_dimAB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,264,27972,qchem_inputs/01a_water_dimAB_3B-69.in,True,True,True,True,True
01a_water_dimAC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,264,33731,qchem_inputs/01a_water_dimAC_3B-69.in,True,True,True,True,True
01a_water_dimBC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,264,33767,qchem_inputs/01a_water_dimBC_3B-69.in,True,True,True,True,True
01a_water_monA_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,3,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,132,9017,qchem_inputs/01a_water_monA_3B-69.in,True,True,True,True,True
01a_water_monB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,3,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,132,9017,qchem_inputs/01a_water_monB_3B-69.in,True,True,True,True,True
01a_water_monC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,3,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,132,9017,qchem_inputs/01a_water_monC_3B-69.in,True,True,True,True,True
01a_water_trim_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,9,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,396,68419,qchem_inputs/01a_water_trim_3B-69.in,True,True,True,True,True
01b_water_dimAB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,264,33816,qchem_inputs/01b_water_dimAB_3B-69.in,True,True,True,True,True
01b_water_dimAC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,264,33733,qchem_inputs/01b_water_dimAC_3B-69.in,True,True,True,True,True
01b_water_dimBC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,264,28752,qchem_inputs/01b_water_dimBC_3B-69.in,True,True,True,True,True
01b_water_monA_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,3,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,132,9017,qchem_inputs/01b_water_monA_3B-69.in,True,True,True,True,True
01b_water_monB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,3,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,132,9017,qchem_inputs/01b_water_monB_3B-69.in,True,True,True,True,True
01b_water_monC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,3,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,132,9017,qchem_inputs/01b_water_monC_3B-69.in,True,True,True,True,True
01b_water_trim_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,9,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,396,69250,qchem_inputs/01b_water_trim_3B-69.in,True,True,True,True,True
01c_water_dimAB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,264,33850,qchem_inputs/01c_water_dimAB_3B-69.in,True,True,True,True,True
01c_water_dimAC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,264,33722,qchem_inputs/01c_water_dimAC_3B-69.in,True,True,True,True,True
01c_water_dimBC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,264,33770,qchem_inputs/01c_water_dimBC_3B-69.in,True,True,True,True,True
01c_water_monA_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,3,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,132,9017,qchem_inputs/01c_water_monA_3B-69.in,True,True,True,True,True
01c_water_monB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,3,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,132,9017,qchem_inputs/01c_water_monB_3B-69.in,True,True,True,True,True
01c_water_monC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,3,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,132,9017,qchem_inputs/01c_water_monC_3B-69.in,True,True,True,True,True
01c_water_trim_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,9,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,396,74291,qchem_inputs/01c_water_trim_3B-69.in,True,True,True,True,True
02a_formaldehyde_dimAB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,8,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,390,63703,qchem_inputs/02a_formaldehyde_dimAB_3B-69.in,True,True,True,True,True
02a_formaldehyde_dimAC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,8,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,390,47862,qchem_inputs/02a_formaldehyde_dimAC_3B-69.in,True,True,True,True,True
02a_formaldehyde_dimBC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,8,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,390,63703,qchem_inputs/02a_formaldehyde_dimBC_3B-69.in,True,True,True,True,True
02a_formaldehyde_monA_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,195,19475,qchem_inputs/02a_formaldehyde_monA_3B-69.in,True,True,True,True,True
02a_formaldehyde_monB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,195,19475,qchem_inputs/02a_formaldehyde_monB_3B-69.in,True,True,True,True,True
02a_formaldehyde_monC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,195,19475,qchem_inputs/02a_formaldehyde_monC_3B-69.in,True,True,True,True,True
02a_formaldehyde_trim_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,585,116843,qchem_inputs/02a_formaldehyde_trim_3B-69.in,True,True,True,True,True
02b_formaldehyde_dimAB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,8,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,390,63703,qchem_inputs/02b_formaldehyde_dimAB_3B-69.in,True,True,True,True,True
02b_formaldehyde_dimAC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,8,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,390,69027,qchem_inputs/02b_formaldehyde_dimAC_3B-69.in,True,True,True,True,True
02b_formaldehyde_dimBC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,8,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,390,69027,qchem_inputs/02b_formaldehyde_dimBC_3B-69.in,True,True,True,True,True
02b_formaldehyde_monA_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,195,19475,qchem_inputs/02b_formaldehyde_monA_3B-69.in,True,True,True,True,True
02b_formaldehyde_monB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,195,19475,qchem_inputs/02b_formaldehyde_monB_3B-69.in,True,True,True,True,True
02b_formaldehyde_monC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,195,19475,qchem_inputs/02b_formaldehyde_monC_3B-69.in,True,True,True,True,True
02b_formaldehyde_trim_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,585,143332,qchem_inputs/02b_formaldehyde_trim_3B-69.in,True,True,True,True,True
02c_formaldehyde_dimAB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,8,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,390,63703,qchem_inputs/02c_formaldehyde_dimAB_3B-69.in,True,True,True,True,True
02c_formaldehyde_dimAC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,8,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,390,61116,qchem_inputs/02c_formaldehyde_dimAC_3B-69.in,True,True,True,True,True
02c_formaldehyde_dimBC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,8,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,390,71821,qchem_inputs/02c_formaldehyde_dimBC_3B-69.in,True,True,True,True,True
02c_formaldehyde_monA_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,195,19475,qchem_inputs/02c_formaldehyde_monA_3B-69.in,True,True,True,True,True
02c_formaldehyde_monB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,195,19475,qchem_inputs/02c_formaldehyde_monB_3B-69.in,True,True,True,True,True
02c_formaldehyde_monC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,195,19475,qchem_inputs/02c_formaldehyde_monC_3B-69.in,True,True,True,True,True
02c_formaldehyde_trim_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,585,138215,qchem_inputs/02c_formaldehyde_trim_3B-69.in,True,True,True,True,True
03_HCN-dimer_0p9_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,318,45028,qchem_inputs/03_HCN-dimer_0p9_dim_A21x12.in,True,True,True,True,True
03_HCN-dimer_1p0_dim_A21x12,gscdb137,1,A19Rel6,6,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,318,43533,qchem_inputs/03_HCN-dimer_1p0_dim_A21x12.in,True,True,True,True,True
03_HCN-dimer_1p1_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,318,41924,qchem_inputs/03_HCN-dimer_1p1_dim_A21x12.in,True,True,True,True,True
03_HCN-dimer_1p2_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,318,40343,qchem_inputs/03_HCN-dimer_1p2_dim_A21x12.in,True,True,True,True,True
03_HCN-dimer_1p4_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,318,37131,qchem_inputs/03_HCN-dimer_1p4_dim_A21x12.in,True,True,True,True,True
03_HCN-dimer_1p6_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,318,35006,qchem_inputs/03_HCN-dimer_1p6_dim_A21x12.in,True,True,True,True,True
03_HCN-dimer_2p0_dim_A21x12,gscdb137,1,A19Rel6,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,318,32199,qchem_inputs/03_HCN-dimer_2p0_dim_A21x12.in,True,True,True,True,True
03a_methanol_ethyne_dimAB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,522,117759,qchem_inputs/03a_methanol_ethyne_dimAB_3B-69.in,True,True,True,True,True
03a_methanol_ethyne_dimAC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,522,117759,qchem_inputs/03a_methanol_ethyne_dimAC_3B-69.in,True,True,True,True,True
03a_methanol_ethyne_dimBC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,522,109360,qchem_inputs/03a_methanol_ethyne_dimBC_3B-69.in,True,True,True,True,True
03a_methanol_ethyne_monA_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,261,34660,qchem_inputs/03a_methanol_ethyne_monA_3B-69.in,True,True,True,True,True
03a_methanol_ethyne_monB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,261,34660,qchem_inputs/03a_methanol_ethyne_monB_3B-69.in,True,True,True,True,True
03a_methanol_ethyne_monC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,261,34660,qchem_inputs/03a_methanol_ethyne_monC_3B-69.in,True,True,True,True,True
03a_methanol_ethyne_trim_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,18,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,783,240898,qchem_inputs/03a_methanol_ethyne_trim_3B-69.in,True,True,True,True,True
03b_methanol_ethyne_dimAB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,522,109360,qchem_inputs/03b_methanol_ethyne_dimAB_3B-69.in,True,True,True,True,True
03b_methanol_ethyne_dimAC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,10,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,453,87900,qchem_inputs/03b_methanol_ethyne_dimAC_3B-69.in,True,True,True,True,True
03b_methanol_ethyne_dimBC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,10,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,453,88827,qchem_inputs/03b_methanol_ethyne_dimBC_3B-69.in,True,True,True,True,True
03b_methanol_ethyne_monA_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,261,34660,qchem_inputs/03b_methanol_ethyne_monA_3B-69.in,True,True,True,True,True
03b_methanol_ethyne_monB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,6,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,261,34660,qchem_inputs/03b_methanol_ethyne_monB_3B-69.in,True,True,True,True,True
03b_methanol_ethyne_monC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,4,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,192,18800,qchem_inputs/03b_methanol_ethyne_monC_3B-69.in,True,True,True,True,True
03b_methanol_ethyne_trim_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,16,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,714,197967,qchem_inputs/03b_methanol_ethyne_trim_3B-69.in,True,True,True,True,True
03c_methanol_ethyne_dimAB_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,12,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,522,117759,qchem_inputs/03c_methanol_ethyne_dimAB_3B-69.in,True,True,True,True,True
03c_methanol_ethyne_dimAC_3B-69,gscdb137,1,3B-69,1,0,,0,0,1,10,def2-QZVPPD,rimp2-def2-QZVPPD,GDM,000099000590,453,88827,qchem_inputs/03c_methanol_ethyne_dimAC_3B-69.in,True,True,True,True,True
