species,line_number,byte_offset,byte_length,record_sha256
01_water-ammonia_0p9_dim_A21x12,1,0,2377,7a3b7d631a5a72f931e2da6de16256f2524709ea5a3b013e60a6a9e7736648c4
01_water-ammonia_1p0_dim_A21x12,2,2377,2377,b65e34d701aad3963b5d5ffe92be7a6a4e36051a263aea893f3b60b5eb65c189
01_water-ammonia_1p1_dim_A21x12,3,4754,2377,6fca8d1ea17195d6a0fb116e52e93d44e4a275ec3af7d3f4a881be751a9bff41
01_water-ammonia_1p2_dim_A21x12,4,7131,2377,7cbd2deb0176bb7b3b863b902e30ff90279e4422b09c036a7b8d69d8a8c75085
01_water-ammonia_1p4_dim_A21x12,5,9508,2377,8ab637dd762fd805222d62ba664c34ebd02dd1cc08a34918a0fbc315d1b87a0b
01_water-ammonia_1p6_dim_A21x12,6,11885,2377,055f71bbcd1c019b9f77f97d77a327a25f0dc4c751b1913cfbd9d3a62f1b41c0
01_water-ammonia_2p0_dim_A21x12,7,14262,2377,49b06da326b64fe18785e70a743f217ce29cfe59b0326dc30422cc38b705e97b
01a_water_dimAB_3B-69,8,16639,2310,ef2b360c9b18cab27c23a2978b51fba5564e2521c609f5b64fa7d03b7b0affa1
01a_water_dimAC_3B-69,9,18949,2305,9fe6e994e1a45cac3ddb2f7c442a9f8530771e44db419020fe66fa6f861c83ef
01a_water_dimBC_3B-69,10,21254,2308,7f50e956d909e346e3a4e309e975651891c8b1e7724469fcaa5f5b1e326ff62c
01a_water_monA_3B-69,11,23562,2177,b016eba1add99eb46635050d8b9aba6b95447372d5cfc9c0118897c9f39387f5
01a_water_monB_3B-69,12,25739,2180,477ea836f582d402e98c733ac7d68284244148f7b5b49cb49fd707b85f8b0077
01a_water_monC_3B-69,13,27919,2175,29ffb90813d19d08e4f794737b3ea3108f4ab0a3d11b549c20ae833085ca5c78
01a_water_trim_3B-69,14,30094,2434,454f43c6ac2b277c21c7bc13a5cb90d061914df952884f0ee3449140ea57c6cc
01b_water_dimAB_3B-69,15,32528,2310,d6f27d73f4ffb71e1ae98d760d643e4fbc8e40ccefbce2175aa374487c9270f0
01b_water_dimAC_3B-69,16,34838,2311,bcae9515c74b483f0bd74f83926f6522975d8880e335dc1dafebf09fe3b18981
01b_water_dimBC_3B-69,17,37149,2314,87ea70bbd183745511cf5768a4ec335f87e796343ead46fc23ac4b6e79d66b72
