global_index,si_row_index,set_or_subset,property_class,dataset_eval_dataset,reaction,dataset_order,selection_index,weight_spec,objective_weight
1,1,BH28,BH,BH28,BH28_BHDIV_1,1,1,10,10
2,1,BH28,BH,BH28,BH28_BHDIV_2,2,2,10,10
3,1,BH28,BH,BH28,BH28_BHDIV_3,3,3,10,10
4,1,BH28,BH,BH28,BH28_BHPERI_4,4,4,10,10
5,1,BH28,BH,BH28,BH28_BHPERI_5,5,5,10,10
6,1,BH28,BH,BH28,BH28_BHPERI_6,6,6,10,10
7,1,BH28,BH,BH28,BH28_BHPERI_7,7,7,10,10
8,1,BH28,BH,BH28,BH28_BHPERI_8,8,8,10,10
9,1,BH28,BH,BH28,BH28_BHPERI_9,9,9,10,10
10,1,BH28,BH,BH28,BH28_CADBH_10,10,10,10,10
11,1,BH28,BH,BH28,BH28_CADBH_11,11,11,10,10
12,1,BH28,BH,BH28,BH28_CADBH_12,12,12,10,10
13,1,BH28,BH,BH28,BH28_CADBH_13,13,13,10,10
14,1,BH28,BH,BH28,BH28_CADBH_14,14,14,10,10
15,1,BH28,BH,BH28,BH28_CADBH_15,15,15,10,10
16,1,BH28,BH,BH28,BH28_CADBH_16,16,16,10,10
17,1,BH28,BH,BH28,BH28_CADBH_17,17,17,10,10
18,1,BH28,BH,BH28,BH28_CADBH_18,18,18,10,10
19,1,BH28,BH,BH28,BH28_CRBH_19,19,19,10,10
20,1,BH28,BH,BH28,BH28_CRBH_20,20,20,10,10
21,1,BH28,BH,BH28,BH28_CRBH_21,21,21,10,10
22,1,BH28,BH,BH28,BH28_CRBH_22,22,22,10,10
23,1,BH28,BH,BH28,BH28_CRBH_23,23,23,10,10
24,1,BH28,BH,BH28,BH28_CRBH_24,24,24,10,10
25,1,BH28,BH,BH28,BH28_PXBH_25,25,25,10,10
26,1,BH28,BH,BH28,BH28_PXBH_26,26,26,10,10
27,1,BH28,BH,BH28,BH28_PXBH_27,27,27,10,10
28,1,BH28,BH,BH28,BH28_PXBH_28,28,28,10,10
29,2,BHDIV7,BH,BHDIV7,BHDIV10_1,1,1,16,16
30,2,BHDIV7,BH,BHDIV7,BHDIV10_3,2,2,16,16
31,2,BHDIV7,BH,BHDIV7,BHDIV10_4,3,3,16,16
32,2,BHDIV7,BH,BHDIV7,BHDIV10_5,4,4,16,16
33,2,BHDIV7,BH,BHDIV7,BHDIV10_6,5,5,16,16
34,2,BHDIV7,BH,BHDIV7,BHDIV10_7,6,6,16,16
35,2,BHDIV7,BH,BHDIV7,BHDIV10_10,7,7,16,16
36,3,BHPERI11,BH,BHPERI11,BHPERI_3,1,1,30,30
37,3,BHPERI11,BH,BHPERI11,BHPERI_8,2,2,30,30
38,3,BHPERI11,BH,BHPERI11,BHPERI_9,3,3,30,30
39,3,BHPERI11,BH,BHPERI11,BHPERI_10,4,4,30,30
40,3,BHPERI11,BH,BHPERI11,BHPERI_20,5,5,30,30
41,3,BHPERI11,BH,BHPERI11,BHPERI_21,6,6,30,30
42,3,BHPERI11,BH,BHPERI11,BHPERI_22,7,7,30,30
43,3,BHPERI11,BH,BHPERI11,BHPERI_23,8,8,30,30
44,3,BHPERI11,BH,BHPERI11,BHPERI_24,9,9,30,30
45,3,BHPERI11,BH,BHPERI11,BHPERI_25,10,10,30,30
46,3,BHPERI11,BH,BHPERI11,BHPERI_26,11,11,30,30
47,4,CRBH14,BH,CRBH14,CRBH20_3,1,1,10,10
48,4,CRBH14,BH,CRBH14,CRBH20_4,2,2,10,10
49,4,CRBH14,BH,CRBH14,CRBH20_5,3,3,10,10
50,4,CRBH14,BH,CRBH14,CRBH20_6,4,4,10,10
51,4,CRBH14,BH,CRBH14,CRBH20_7,5,5,10,10
52,4,CRBH14,BH,CRBH14,CRBH20_8,6,6,10,10
53,4,CRBH14,BH,CRBH14,CRBH20_9,7,7,10,10
54,4,CRBH14,BH,CRBH14,CRBH20_13,8,8,10,10
55,4,CRBH14,BH,CRBH14,CRBH20_14,9,9,10,10
56,4,CRBH14,BH,CRBH14,CRBH20_15,10,10,10,10
57,4,CRBH14,BH,CRBH14,CRBH20_16,11,11,10,10
58,4,CRBH14,BH,CRBH14,CRBH20_17,12,12,10,10
59,4,CRBH14,BH,CRBH14,CRBH20_18,13,13,10,10
60,4,CRBH14,BH,CRBH14,CRBH20_19,14,14,10,10
61,5,DBH22,BH,DBH22,DBH24_1,1,1,30,30
62,5,DBH22,BH,DBH22,DBH24_2,2,2,30,30
63,5,DBH22,BH,DBH22,DBH24_3,3,3,30,30
64,5,DBH22,BH,DBH22,DBH24_4,4,4,30,30
65,5,DBH22,BH,DBH22,DBH24_5,5,5,30,30
66,5,DBH22,BH,DBH22,DBH24_6,6,6,30,30
67,5,DBH22,BH,DBH22,DBH24_7,7,7,30,30
68,5,DBH22,BH,DBH22,DBH24_8,8,8,30,30
69,5,DBH22,BH,DBH22,DBH24_9,9,9,30,30
70,5,DBH22,BH,DBH22,DBH24_10,10,10,30,30
71,5,DBH22,BH,DBH22,DBH24_11,11,11,30,30
72,5,DBH22,BH,DBH22,DBH24_12,12,12,30,30
73,5,DBH22,BH,DBH22,DBH24_13,13,13,30,30
