Dataset,datapoints,weights,set_or_subset,property_class,published_count,selection_mode
BH28,All,10,BH28,BH,28,All
BHDIV7,All,16,BHDIV7,BH,7,All
BHPERI11,All,30,BHPERI11,BH,11,All
CRBH14,All,10,CRBH14,BH,14,All
DBH22,All,30,DBH22,BH,22,All
PX9,All,20,PX9,BH,9,All
Dip146,"Dip146_1,Dip146_4,Dip146_7,Dip146_10,Dip146_13,Dip146_16,Dip146_19,Dip146_22,Dip146_25,Dip146_28,Dip146_32,Dip146_35,Dip146_38,Dip146_41,Dip146_44,Dip146_47,Dip146_50,Dip146_53,Dip146_56,Dip146_59,Dip146_62,Dip146_65,Dip146_68,Dip146_71,Dip146_74,Dip146_77,Dip146_80,Dip146_83,Dip146_86,Dip146_89,Dip146_92,Dip146_95,Dip146_98,Dip146_101,Dip146_104,Dip146_107,Dip146_110,Dip146_113,Dip146_116,Dip146_119,Dip146_122,Dip146_125,Dip146_128,Dip146_131,Dip146_134,Dip146_137,Dip146_140,Dip146_143,Dip146_146,Dip146_149,Dip146_152,Dip146_155,Dip146_158,Dip146_161,Dip146_164,Dip146_167,Dip146_170,Dip146_173,Dip146_176,Dip146_179,Dip146_182,Dip146_185,Dip146_188",1600,Dip146,EF,63,explicit
HR46,"HR46_1,HR46_4,HR46_5,HR46_8,HR46_10,HR46_12,HR46_13,HR46_17,HR46_20,HR46_23,HR46_28,HR46_30,HR46_34,HR46_37,HR46_38,HR46_42,HR46_45,HR46_48,HR46_51,HR46_53,HR46_57,HR46_59,HR46_62,HR46_66,HR46_70,HR46_71,HR46_75,HR46_76,HR46_80,HR46_82,HR46_86,HR46_87,HR46_91,HR46_94,HR46_97,HR46_99,HR46_104,HR46_105,HR46_110,HR46_113,HR46_114,HR46_119,HR46_120,HR46_123,HR46_126",10000,HR46,EF,45,explicit
Pol130,"Pol130_1,Pol130_4,Pol130_11,Pol130_12,Pol130_16,Pol130_20,Pol130_22,Pol130_24,Pol130_26,Pol130_28,Pol130_33,Pol130_36,Pol130_39,Pol130_42,Pol130_44,Pol130_48,Pol130_51,Pol130_54,Pol130_56,Pol130_59,Pol130_62,Pol130_66,Pol130_68,Pol130_70,Pol130_74,Pol130_81,Pol130_85,Pol130_91,Pol130_95,Pol130_98,Pol130_101,Pol130_102,Pol130_105,Pol130_107,Pol130_111,Pol130_115,Pol130_116,Pol130_121,Pol130_123,Pol130_126,Pol130_128,Pol130_130,Pol130_132,Pol130_137,Pol130_142,Pol130_144,Pol130_145,Pol130_147,Pol130_149,Pol130_153,Pol130_157,Pol130_158,Pol130_161,Pol130_165,Pol130_167,Pol130_170,Pol130_171,Pol130_173,Pol130_176,Pol130_180,Pol130_182,Pol130_185,Pol130_188,Pol130_192,Pol130_197,Pol130_200,Pol130_203,Pol130_204,Pol130_209,Pol130_211,Pol130_214,Pol130_217,Pol130_223,Pol130_227,Pol130_229,Pol130_231,Pol130_234,Pol130_237,Pol130_242,Pol130_245,Pol130_248,Pol130_250,Pol130_254,Pol130_257,Pol130_261,Pol130_262,Pol130_267,Pol130_273,Pol130_276,Pol130_279,Pol130_282,Pol130_284,Pol130_290,Pol130_294,Pol130_296",6400,Pol130,EF,95,explicit
EIE22,All,20,EIE22,ISO,22,All
