published_dataset,property_type,published_selected_count,published_weight_spec,gscdb137_relation,notes
BH28,BH,28,16,exact_name,
BHPERI11,BH,11,16,exact_name,
CRBH14,BH,14,10,exact_name,
DBH24,BH,24,15.13,predecessor_or_subset,GSCDB137 registry has DBH22; do not map automatically
Dip152,EF,64,1600,predecessor_or_subset,GSCDB137 registry has Dip146 and the SI does not list selected reaction IDs
HR46,EF,46,300,exact_name,
Pol132,EF,126,900,predecessor_or_subset,GSCDB137 registry has Pol130 and the SI does not list selected reaction IDs
EIE22,ISO,22,20,exact_name,
Styrene43,ISO,43,10,predecessor_or_subset,GSCDB137 registry has Styrene42; do not map automatically
AlkIsomer11,ISO,11,50,exact_name,
BUT14DIOL,ISO,64,200,exact_name,
S66Rel7,ISO,81,60,partial_selection,Dataset exists in GSCDB137 but the SI does not list selected reaction IDs
CT20,NC,20,400,exact_name,
HCP32,NC,32,40,exact_name,
TA13,NC,13,8,exact_name,
XB8,NC,8,17.51,exact_name,
HW6Cl,NC,6,132.08,predecessor_or_subset,GSCDB137 registry has HW6Cl5; do not map automatically
HW6F,NC,6,126.30,exact_name,
Shields38,NC,8,200,partial_selection,Dataset exists in GSCDB137 but the SI does not list selected reaction IDs
WATER27,NC,17,20,partial_selection,Dataset exists in GSCDB137 but the SI does not list selected reaction IDs
A24,NC,24,164.64,exact_name,
DS14,NC,14,100,exact_name,
HB49,NC,49,80,exact_name,
HSG,NC,21,200,exact_name,
IHB100,NC,100,80,exact_name,
NBC10,NC,184,200,partial_selection,Dataset exists in GSCDB137 but the SI does not list selected reaction IDs
RG10N11NC,NC,20,20,predecessor_or_subset,GSCDB137 registry has RG10N; do not map automatically
RG10N2,NC,17,800,predecessor_or_subset,GSCDB137 registry has RG10N; do not map automatically
S22,NC,22,140.75,exact_name,
X40,NC,40,145.67,exact_name,
MB16-43,TC,43,0.01,exact_name,
MX34,TC,34,0.05,exact_name,
AE18,TC,18,Shrink2,exact_name,"SI footnote states w=1/sqrt(Z), while released preprocessing returns w=1/i for Shrink2 (thus 1/Z when atomic-number ordered); resolve before adoption"
ALK8,TC,8,2,exact_name,
AlkAtom19,TC,19,1.3,exact_name,
BDE99nonMR,TC,83,1.49,partial_selection,Dataset exists in GSCDB137 but the SI does not list selected reaction IDs
DARC,TC,14,8,exact_name,
DIPCS9,TC,9,1,exact_name,
G21EA,TC,25,3,exact_name,
G21IP,TC,36,1.4,exact_name,
HEAVYSB11,TC,11,1,exact_name,
RSE43,TC,43,2,exact_name,
TAE W4-17nonMR,TC,183,1.33,exact_name,
3d4dIPSS,TM,35,1.5,exact_name,
CUAGAU36,TM,36,0.2,predecessor_or_subset,GSCDB137 registry has CUAGAU83; do not map automatically
TMC34,TM,34,3,composite_or_subset,Current GSCDB supplies a separate 37-row TMC weighting file; do not conflate evaluation weights with this training weight
